#Code;English;French;German;Spanish;Russian;x
acn_craft_guild_hut;Craft Guild Hut;;;;;x
acn_craft_guild_hut_desc;A humble cluster of makeshift shelters where the first artisans gather, trading skills and simple goods among earthen floors and woven mats.;;;;;x
acn_scribes_niche;Scribes' Niche;;;;;x
acn_scribes_niche_desc;A modest chamber where literate guildsmen record transactions and tally accounts, marking the first steps toward organized civic administration.;;;;;x
acn_potters_court;Potters' Court;;;;;x
acn_potters_court_desc;A small, sun-baked courtyard lined with simple pottery wheels and kilns, producing everyday wares for the growing settlement.;;;;;x
acn_weavers_lane;Weavers' Lane;;;;;x
acn_weavers_lane_desc;A row of reed and mud workshops where cloth is spun and dyed, bringing color and comfort to the settlements trade.;;;;;x
acn_merchants_yard;Merchants' Yard;;;;;x
acn_merchants_yard_desc;A walled enclosure of stone warehouses and counting houses, where merchants gather under the protection of the guilds authority.;;;;;x
acn_artisans_plaza;Artisans' Plaza;;;;;x
acn_artisans_plaza_desc;A bustling central square of timber and brick, where skilled craftsmen display their wares, attracting merchants and fostering urban growth.;;;;;x
acn_jewelers_row;Jewelers' Row;;;;;x
acn_jewelers_row_desc;A stately avenue of well-guarded shops, where precious gems and gold are worked, attracting wealth and prestige from distant lands.;;;;;x
acn_guild_assembly;Guild Assembly;;;;;x
acn_guild_assembly_desc;A grand hall of the urban guilds, where leaders meet, regulate trade, and make civic decisions, strengthening city governance and defense.;;;;;x
acn_market_enclosure;Market Enclosure;;;;;x
acn_market_enclosure_desc;A fortified, bustling market ringed by permanent stone arcades and watchtowers, drawing traders from afar and defending the citys prosperity.;;;;;x
acn_grand_urban_guild;Grand Urban Guild;;;;;x
acn_grand_urban_guild_desc;The ultimate urban institution: a magnificent, multi-storied guild complex at the heart of the city, dominating commerce, administration, and civic life in all directions.;;;;;x
