#Code;English;French;German;Spanish;Russian;x
ade_travelers_compound;Travelers' Compound;;;;;x
ade_travelers_compound_desc;A basic enclosure of tents and rough fencing to shelter the first caravans, offering minimal protection and trade support at the frontier.;;;;;x
ade_water_cistern;Water Cistern;;;;;x
ade_water_cistern_desc;A stone-lined cistern collecting water for travelers and animals, a vital improvement for desert routes and remote stops.;;;;;x
ade_resting_court;Resting Court;;;;;x
ade_resting_court_desc;An expanded courtyard with wooden shelters and watchfires, providing better rest and modest security for passing merchants and travelers.;;;;;x
ade_guest_house;Guest House;;;;;x
ade_guest_house_desc;A permanent lodging with furnished chambers for distinguished travelers and merchants, attracting reputable guests and increasing local prosperity.;;;;;x
ade_horse_shelter;Horse Shelter;;;;;x
ade_horse_shelter_desc;Timber-framed stables and corrals for beasts of burden, guarded at night and offering modest defense against raiders.;;;;;x
ade_caravan_stable;Caravan Stable;;;;;x
ade_caravan_stable_desc;A fortified stable complex with stone walls, secure storerooms, and space for larger caravans. Supports substantial trade and increases urban security.;;;;;x
ade_merchants_court;Merchants Court;;;;;x
ade_merchants_court_desc;A walled enclosure with permanent shops, counting-houses, and a small staff of guards, establishing the settlement as a significant node in regional trade.;;;;;x
ade_bazaar_plaza;Bazaar Plaza;;;;;x
ade_bazaar_plaza_desc;A grand open plaza filled with permanent market stalls, warehouses, and a central fountain, drawing merchants from afar and enriching the city.;;;;;x
ade_inner_caravanserai;Inner Caravanserai;;;;;x
ade_inner_caravanserai_desc;A fortified inner complex with stone walls, watchtowers, and ornate gates, protecting both merchants and wares while supporting advanced commerce and urban life.;;;;;x
ade_grand_caravanserai;Grand Caravanserai;;;;;x
ade_grand_caravanserai_desc;The ultimate hub: a palatial caravanserai with arcaded galleries, marble courtyards, and a garrisoned guardhouse, recognized as a legendary center of trade, hospitality, and urban prestige.;;;;;x
