#Code;English;French;German;Spanish;Russian;x
ahd_mudbrick_hall;Mudbrick Hall;;;;;x
ahd_mudbrick_hall_desc;A simple, hastily constructed hall of sun-dried mudbricks, providing a basic space for the lords council and gathering of retainers.;;;;;x
ahd_wooden_pavilion;Wooden Pavilion;;;;;x
ahd_wooden_pavilion_desc;A large timber structure, open to air and fit for small audiences, providing a more formal gathering place for retainers and minor nobles.;;;;;x
ahd_open_court;Open Court;;;;;x
ahd_open_court_desc;An expansive, open-air court adorned with stone platforms for judgment, public displays, and the gathering of warriors and vassals.;;;;;x
ahd_stone_audience_chamber;Stone Audience Chamber;;;;;x
ahd_stone_audience_chamber_desc;A sturdy audience chamber built of stone, offering security and dignity to gatherings, and impressing vassals with its permanence.;;;;;x
ahd_pillar_hall;Pillar Hall;;;;;x
ahd_pillar_hall_desc;A grand hall supported by rows of carved stone pillars, with space for large gatherings, feasts, and the administration of justice.;;;;;x
ahd_mandapa_hall;Mandapa Hall;;;;;x
ahd_mandapa_hall_desc;A lavish ceremonial hall with ornate mandapa-style porches, providing a prestigious center for royal ceremonies and feasts.;;;;;x
ahd_royal_courtroom;Royal Courtroom;;;;;x
ahd_royal_courtroom_desc;A massive, secure chamber for the kings justice, lined with precious woods and murals, serving as the administrative heart of the realm.;;;;;x
ahd_pillared_audience_hall;Pillared Audience Hall;;;;;x
ahd_pillared_audience_hall_desc;A monumental audience hall with towering pillars, gold inlay, and space for hundreds, signifying the rulers grandeur and administrative might.;;;;;x
ahd_kings_durbar;Kings Durbar;;;;;x
ahd_kings_durbar_desc;A court of splendor, where the king holds audience with nobles and foreign envoys, its opulence matched only by the power it projects.;;;;;x
ahd_imperial_durbar;Imperial Durbar;;;;;x
ahd_imperial_durbar_desc;The supreme seat of imperial authority, a palace of gold, marble, and colored stone, center of law, culture, and power for the entire realm.;;;;;x
