#Code;English;French;German;Spanish;Russian;x
blr_wayfarer_hut;Wayfarer Hut;;;;;x
blr_wayfarer_hut_desc;A crude shelter of canvas and timber, offering the most basic accommodation for passing travelers and laborers.;;;;;x
blr_travellers_shelter;Travellers' Shelter;;;;;x
blr_travellers_shelter_desc;A rough timber shelter with a communal hearth, providing refuge from the elements and a gathering point for news and minor trade.;;;;;x
blr_pilgrims_rest;Pilgrims Rest;;;;;x
blr_pilgrims_rest_desc;A modest inn with a common room and shared bunks, catering to wayfarers and small merchant groups seeking a secure nights sleep.;;;;;x
blr_charity_hostel;Charity Hostel;;;;;x
blr_charity_hostel_desc;A well-funded stone hostel offering comfortable lodging, food, and markets for travelers, with a reputation for fairness and safety.;;;;;x
blr_hostelry;Hostelry;;;;;x
blr_hostelry_desc;A sturdy timber-and-stone establishment, featuring private rooms, stabling for animals, and a guarded courtyard for merchants and travelers.;;;;;x
blr_refuge_house;Refuge House;;;;;x
blr_refuge_house_desc;A fortified lodging complex with merchant vaults, bustling bazaars, and administrative offices ensuring security for commerce and guests.;;;;;x
blr_pilgrims_inn;Pilgrims' Inn;;;;;x
blr_pilgrims_inn_desc;A bustling stone inn at the crossroads, renowned for its hospitality and a lively market square drawing in commerce and gossip.;;;;;x
blr_pilgrims_hall;Pilgrims Hall;;;;;x
blr_pilgrims_hall_desc;A grand, multi-story inn with multiple halls, a small trade arcade, and permanent staff, favored by merchants and envoys.;;;;;x
blr_pilgrims_lodge;Pilgrims Lodge;;;;;x
blr_pilgrims_lodge_desc;A prestigious urban lodge combining luxurious accommodations, vibrant marketplaces, fortified precincts, and city administration offices.;;;;;x
blr_grand_pilgrim_hostel;Grand Pilgrim Hostel;;;;;x
blr_grand_pilgrim_hostel_desc;A monumental civic complex: palace-like lodgings, vast trade halls, private vaults, and an urban citadel, anchoring the citys prosperity and prestige.;;;;;x
