#Code;English;French;German;Spanish;Russian;x
caz_straw_guest_hut;Straw Guest Hut;;;;;x
caz_straw_guest_hut_desc;A simple hut of wattle and daub with a straw roof, hastily assembled for wandering wayfarers and humble pilgrims.;;;;;x
caz_wooden_guesthouse;Wooden Guesthouse;;;;;x
caz_wooden_guesthouse_desc;A sturdier wooden guesthouse for travelers, offering some privacy and a communal fire for warmth and prayer.;;;;;x
caz_stone_guest_quarters;Stone Guest Quarters;;;;;x
caz_stone_guest_quarters_desc;Guest quarters constructed of stone, safe from the elements and offering modest comfort to visiting clergy and pious guests.;;;;;x
caz_courtyard_guesthouse;Courtyard Guesthouse;;;;;x
caz_courtyard_guesthouse_desc;A spacious guesthouse built around a central courtyard, suitable for larger groups of pilgrims and visiting priests.;;;;;x
caz_servants_wing;Servants' Wing;;;;;x
caz_servants_wing_desc;An extension for attending servants and minor dignitaries, improving the temples hospitality and reputation among the faithful.;;;;;x
caz_enclosed_guest_hall;Enclosed Guest Hall;;;;;x
caz_enclosed_guest_hall_desc;A grand hall, fully enclosed, for hosting important guests and gatherings, strengthening religious ties and providing spiritual security.;;;;;x
caz_furnished_guest_suites;Furnished Guest Suites;;;;;x
caz_furnished_guest_suites_desc;Elegant, well-appointed suites for high-ranking clergy and learned visitors, fostering religious scholarship and influence.;;;;;x
caz_chambered_guest_rooms;Chambered Guest Rooms;;;;;x
caz_chambered_guest_rooms_desc;Private chambers with intricate decor and study nooks, attracting visiting scholars and influential clergy to the temple.;;;;;x
caz_noble_guest_apartments;Noble Guest Apartments;;;;;x
caz_noble_guest_apartments_desc;Lavish apartments reserved for nobility and archbishops, enhancing the temples prestige and its role as a center for piety and learning.;;;;;x
caz_sanctuary_guest_palace;Sanctuary Guest Palace;;;;;x
caz_sanctuary_guest_palace_desc;A magnificent palace, sacred and secure, for the most honored guests. Its hospitality is legendary, and it radiates piety and religious authority across the realm.;;;;;x
