#Code;English;French;German;Spanish;Russian;x
ckf_scroll_room;Scroll Room;;;;;x
ckf_scroll_room_desc;A humble tent or wooden lean-to, set aside for the storage of scrolls and basic records. Early efforts at administration and order in a newly settled domain.;;;;;x
ckf_record_room;Record Room;;;;;x
ckf_record_room_desc;A sturdy, locked chamber within the keep, containing organized shelves and chests for records, census rolls, and ledgers. Enables more efficient administration and levying.;;;;;x
ckf_manuscript_alcove;Manuscript Alcove;;;;;x
ckf_manuscript_alcove_desc;A partitioned area within a wooden outbuilding, reinforced with shelving for manuscripts and basic ledgers. Slightly improves record-keeping and local order.;;;;;x
ckf_archive_chamber;Archive Chamber;;;;;x
ckf_archive_chamber_desc;A stone-vaulted chamber with iron doors, providing secure and fireproof storage for archives and legal documents. Strengthens governance and taxation.;;;;;x
ckf_scholars_study;Scholars Study;;;;;x
ckf_scholars_study_desc;Dedicated stone rooms with writing desks and ample storage for reference works, supporting a small retinue of scribes and scholars. Greatly improves administrative efficiency and realm learning.;;;;;x
ckf_book_repository;Book Repository;;;;;x
ckf_book_repository_desc;A fortified multi-room vault, filled with books, treatises, and codices. Guards are posted to protect the valuable knowledge, which now directly benefits administration, military, and learning.;;;;;x
ckf_community_archive;Community Archive;;;;;x
ckf_community_archive_desc;An imposing archive complex, providing secure storage, scriptoria, and reading rooms for trusted officials and scribes. The center of administration and learning for the entire domain.;;;;;x
ckf_council_library;Council Library;;;;;x
ckf_council_library_desc;A grand stone edifice with multiple levels, housing the records and treatises of generations. The seat of council deliberations, supporting advanced administration and military planning.;;;;;x
ckf_elders_archive;Elders' Archive;;;;;x
ckf_elders_archive_desc;An ancient and storied archive, where the wisdom and records of countless rulers are preserved. The very heart of feudal governance and knowledge, empowering both rule and defense.;;;;;x
ckf_grand_archive;Grand Archive;;;;;x
ckf_grand_archive_desc;A legendary center of learning and record-keeping, inspiring both loyalty and awe. All aspects of administration, defense, and knowledge are enhanced, securing your dynastys legacy for centuries.;;;;;x
