#Code;English;French;German;Spanish;Russian;x
ctb_root_cellar_2;Root Cellar;;;;;x
ctb_root_cellar_2_desc;A makeshift earthen cellar dug beneath the city, offering basic food storage and protection from spoilage.;;;;;x
ctb_grain_store_3;Grain Store;;;;;x
ctb_grain_store_3_desc;A timber-framed storehouse for grains and produce, ensuring a more reliable food supply for the growing town.;;;;;x
ctb_garden_plot_1;Garden Plot;;;;;x
ctb_garden_plot_1_desc;A humble patch of tilled earth, tended by hand, where settlers coax meager crops from the wild soil.;;;;;x
ctb_orchard_grove_4;Orchard Grove;;;;;x
ctb_orchard_grove_4_desc;Rows of fruit trees cultivated on the outskirts, bringing seasonal abundance and improved trade for the city.;;;;;x
ctb_millhouse_5;Millhouse;;;;;x
ctb_millhouse_5_desc;A sturdy water or wind-powered mill, grinding grain into flour and driving the citys economic growth.;;;;;x
ctb_bakery_row_6;Bakery Row;;;;;x
ctb_bakery_row_6_desc;A bustling row of communal ovens and bakeries, filling the streets with bread and furthering urban prosperity.;;;;;x
ctb_granary_7;Granary;;;;;x
ctb_granary_7_desc;A massive, stone-built granary dominating the city center, securing the food supply against famine and siege.;;;;;x
ctb_brewers_den_8;Brewers Den;;;;;x
ctb_brewers_den_8_desc;A thriving district of brewers and alehouses, drawing travelers and merchants with the promise of drink and revelry.;;;;;x
ctb_butchers_market_9;Butchers Market;;;;;x
ctb_butchers_market_9_desc;A bustling covered market where butchers ply their trade, distributing meats and provisions throughout the city.;;;;;x
ctb_provisioners_hall_10;Provisioners Hall;;;;;x
ctb_provisioners_hall_10_desc;A grand civic hall overseeing all urban provisioning, food stores, and trade. Ensures abundance in times of feast and hardship alike.;;;;;x
