#Code;English;French;German;Spanish;Russian;x
dhn_community_room;Community Room;;;;;x
dhn_community_room_desc;A humble, makeshift gathering space of tents and benches where townsfolk meet for basic discussion and resolve disputes.;;;;;x
dhn_meeting_hall;Meeting Hall;;;;;x
dhn_meeting_hall_desc;A sturdier timber structure with a raised platform, allowing more formal assemblies and the beginnings of organized record-keeping.;;;;;x
dhn_rabbinic_chamber;Rabbinic Chamber;;;;;x
dhn_rabbinic_chamber_desc;A discreet council room with reinforced doors and scroll racks, where trusted advisors gather to strategize and resolve local disputes.;;;;;x
dhn_judicial_chamber;Judicial Chamber;;;;;x
dhn_judicial_chamber_desc;A high-walled stone room with benches for adjudicators, where justice is dispensed and records are kept under lock and key.;;;;;x
dhn_council_chamber;Council Chamber;;;;;x
dhn_council_chamber_desc;A well-built chamber within the keep, decorated with banners and benches, dedicated to the meetings of elders and councilors.;;;;;x
dhn_stone_assembly_room;Stone Assembly Room;;;;;x
dhn_stone_assembly_room_desc;A fortified stone hall with carved seating and secure doors, providing a safe place for critical deliberations and plans.;;;;;x
dhn_elders_hall;Elders' Hall;;;;;x
dhn_elders_hall_desc;A grand hall adorned with carved pillars and stonework, where the leading elders and council meet to govern and command.;;;;;x
dhn_community_assembly;Community Assembly;;;;;x
dhn_community_assembly_desc;An ornate hall with elaborate woodwork, a dais for the lord or mayor, and antechambers for private counsel, fostering unity and order.;;;;;x
dhn_great_hall;Great Hall;;;;;x
dhn_great_hall_desc;A vast stone hall with vaulted ceilings, banners, and ceremonial tables, serving as the heart of governance and feudal ceremony.;;;;;x
dhn_grand_council_hall;Grand Council Hall;;;;;x
dhn_grand_council_hall_desc;A resplendent hall of marble and gold, with galleries for advisors and scribes, serving as the seat of the highest council and command.;;;;;x
