#Code;English;French;German;Spanish;Russian;x
dig_sacred_clearing;Sacred Clearing;;;;;x
dig_sacred_clearing_desc;A simple, consecrated patch of earth where the faithful gather to pray beneath the open sky. Marked by standing stones and primitive symbols, it is the first step in establishing spiritual presence in the wild.;;;;;x
dig_wooden_shrine;Wooden Shrine;;;;;x
dig_wooden_shrine_desc;A small, hastily built wooden structure offering shelter for icons and relics. Serves as a focal point for local worship and the first physical sign of enduring faith in the region.;;;;;x
dig_stone_chapel;Stone Chapel;;;;;x
dig_stone_chapel_desc;A sturdy stone chapel with a simple altar and place for the faithful to kneel. Its construction marks the transition from temporary to permanent worship.;;;;;x
dig_chapel_with_reliquary;Chapel with Reliquary;;;;;x
dig_chapel_with_reliquary_desc;An expanded chapel housing sacred relics, drawing pilgrims and conferring prestige upon the site. The reliquary is guarded and revered, and the local clergy gain influence.;;;;;x
dig_pilgrims_shelter;Pilgrims Shelter;;;;;x
dig_pilgrims_shelter_desc;A humble lodging for weary travelers and pilgrims, reinforcing the sites reputation as a safe haven for the devout. Includes communal sleeping quarters and a kitchen.;;;;;x
dig_sanctuary_walls;Sanctuary Walls;;;;;x
dig_sanctuary_walls_desc;Thick stone walls encircle the sanctuary, protecting the faithful and the relics within. The site becomes a spiritual refuge even in times of strife.;;;;;x
dig_ornate_altar;Ornate Altar;;;;;x
dig_ornate_altar_desc;A richly decorated altar at the heart of the sanctuary, crafted by skilled artisans and blessed by high clergy. The altar draws donors and enhances local faith.;;;;;x
dig_sanctuary_cloisters;Sanctuary Cloisters;;;;;x
dig_sanctuary_cloisters_desc;Secluded covered walkways and gardens for the resident clergy and scholars. The cloisters foster contemplation, learning, and the copying of sacred texts.;;;;;x
dig_grand_sanctuary;Grand Sanctuary;;;;;x
dig_grand_sanctuary_desc;A magnificent sanctuary complex with soaring arches, multiple chapels, and accommodations for pilgrims and clergy alike. A beacon of faith and spiritual power.;;;;;x
dig_sanctuary_basilica;Sanctuary Basilica;;;;;x
dig_sanctuary_basilica_desc;A towering basilica crowned with domes and spires, renowned across realms as a center of learning, pilgrimage, and religious authority. Its influence shapes the faith of nations.;;;;;x
