#Code;English;French;German;Spanish;Russian;x
dqc_meeting_chamber_zoroastrian;Meeting Chamber;;;;;x
dqc_meeting_chamber_zoroastrian_desc;A simple gathering space, furnished with earthen benches and crude timber, where early settlers discuss matters of survival and defense.;;;;;x
dqc_wisemens_hall_zoroastrian;Wisemens Hall;;;;;x
dqc_wisemens_hall_zoroastrian_desc;A timber-roofed hall where local sages and chiefs debate, offering modest administrative improvements and greater security.;;;;;x
dqc_stone_assembly_room_zoroastrian;Stone Assembly Room;;;;;x
dqc_stone_assembly_room_zoroastrian_desc;A sturdier chamber built of rough stone, offering basic protection and a central place for local leaders to meet and organize.;;;;;x
dqc_council_chamber_zoroastrian;Council Chamber;;;;;x
dqc_council_chamber_zoroastrian_desc;A fortified council hall, set with stone pillars and guarded doors, where the realms affairs are deliberated by trusted advisors.;;;;;x
dqc_noble_gathering_hall_zoroastrian;Noble Gathering Hall;;;;;x
dqc_noble_gathering_hall_zoroastrian_desc;An imposing stone hall with banners and tapestries, designed to host noble assemblies, courtly events, and the occasional war council.;;;;;x
dqc_firekeepers_hall_zoroastrian;Firekeepers Hall;;;;;x
dqc_firekeepers_hall_zoroastrian_desc;The heart of the keep, this radiant hall symbolizes unity and vigilance, where the eternal fire of leadership is tended and the realms destiny is forged.;;;;;x
dqc_royal_audience_chamber_zoroastrian;Royal Audience Chamber;;;;;x
dqc_royal_audience_chamber_zoroastrian_desc;A grand, vaulted chamber richly decorated, where the lord receives petitioners, dispenses justice, and commands the loyalty of the realms elite.;;;;;x
dqc_assembly_house_zoroastrian;Assembly House;;;;;x
dqc_assembly_house_zoroastrian_desc;A stately building where lords and trusted retainers gather to coordinate defense and governance, its influence felt throughout the domain.;;;;;x
dqc_royal_hall_zoroastrian;Royal Hall;;;;;x
dqc_royal_hall_zoroastrian_desc;The castles crowning glory, this majestic hall is the stage for royal ceremonies, decrees, and great councils, its walls adorned with the symbols of the dynastys power.;;;;;x
dqc_grand_audience_house_zoroastrian;Grand Audience House;;;;;x
dqc_grand_audience_house_zoroastrian_desc;A legendary seat of power, vast enough to gather all vassals and knights. Here, the rulers word echoes across the realm and the might of the dynasty is unmatched.;;;;;x
