#Code;English;French;German;Spanish;Russian;x
eeq_cattle_shed;Cattle Shed;;;;;x
eeq_cattle_shed_desc;A crude wooden structure for sheltering livestock, with rough paddocks and basic feeding areas, supporting the settlements first herds.;;;;;x
eeq_fallow_field;Fallow Field;;;;;x
eeq_fallow_field_desc;A patch of cleared land, roughly tilled and left to rest, ready for the first crops. Simple earthworks and makeshift shelters mark the first step of settlement.;;;;;x
eeq_vineyard_patch;Vineyard Patch;;;;;x
eeq_vineyard_patch_desc;Scattered rows of hardy grapevines, tended by settlers. Small trellises and rough fencing mark the beginnings of winemaking in the land.;;;;;x
eeq_orchard_rows;Orchard Rows;;;;;x
eeq_orchard_rows_desc;Well-planned rows of fruit trees, tended by skilled workers and protected by stone walls. Orchards provide both food security and growing trade opportunities.;;;;;x
eeq_farmstead;Farmstead;;;;;x
eeq_farmstead_desc;A permanent cluster of timber-framed buildings, granaries, and fenced plots. The farmstead anchors the community, allowing steady agricultural output and modest trade.;;;;;x
eeq_grape_press;Grape Press;;;;;x
eeq_grape_press_desc;A sturdy stone-and-wood press for crushing grapes, allowing large-scale winemaking and the export of fine vintages from the domain.;;;;;x
eeq_farmlands_mill;Farmlands Mill;;;;;x
eeq_farmlands_mill_desc;A water or wind-powered mill, grinding grain for the town and surrounding villages, fueling local prosperity and supporting increased population.;;;;;x
eeq_farmers_guild;Farmers' Guild;;;;;x
eeq_farmers_guild_desc;A powerful guild of local farmers, craftsmen, and merchants. The guild enforces standards, secures trade deals, and brings prosperity to the towns agricultural heartland.;;;;;x
eeq_manor_granary;Manor Granary;;;;;x
eeq_manor_granary_desc;A fortified stone granary attached to the local manor, securing the grain supply in times of siege and famine, and supporting the provinces economic power.;;;;;x
eeq_grand_farmland;Grand Farmland;;;;;x
eeq_grand_farmland_desc;Vast, meticulously tended fields, advanced irrigation, and bustling markets. The Grand Farmland transforms the region into a breadbasket, attracting merchants and settlers from afar.;;;;;x
