#Code;English;French;German;Spanish;Russian;x
ca_keep_1;Watchtower Keep;;;;;x
ca_keep_1_desc;A rudimentary frontier fortification of timber palisades and watchtowers, sheltering a small garrison and establishing basic defensive oversight.;;;;;x
ca_keep_2;Timber Stronghold;;;;;x
ca_keep_2_desc;A reinforced wooden keep with thicker palisades, a central hall, and improved living quarters for the lord and garrison.;;;;;x
ca_keep_3;Stone Donjon;;;;;x
ca_keep_3_desc;A tall, square stone tower (donjon) replaces wooden defenses, providing both formidable protection and a symbol of authority.;;;;;x
ca_keep_4;Square Keep;;;;;x
ca_keep_4_desc;A large, multi-story stone keep with improved fortifications, barracks, and command quarters; a true bastion for noble residence and defense.;;;;;x
ca_keep_5;Round Keep;;;;;x
ca_keep_5_desc;Advanced architectural techniques yield a rounded stone keep, with reinforced walls, improved arrow slits, and expanded living space for retainers.;;;;;x
ca_keep_6;Multi-Towered Keep;;;;;x
ca_keep_6_desc;A grand fortress, boasting multiple interconnected towers, expanded walls, and layered defenses, able to withstand the fiercest sieges and house a mighty retinue.;;;;;x
ca_keep_7;Great Hall Fortress;;;;;x
ca_keep_7_desc;A mighty fortress with a lavish great hall, vast administrative quarters, and storied halls for feasts and councils, radiating prestige and power.;;;;;x
ca_keep_8;Concentric Keep;;;;;x
ca_keep_8_desc;An advanced keep designed with multiple layers of curtain walls and interlocking towers, maximizing defensive capability and military organization.;;;;;x
ca_keep_9;Royal Residence;;;;;x
ca_keep_9_desc;A palatial stronghold fit for royalty, featuring vast staterooms, administrative wings, and lavish quarters that inspire awe and command loyalty.;;;;;x
ca_keep_10;Imperial Citadel;;;;;x
ca_keep_10_desc;The ultimate castle fortress, an awe-inspiring citadel of unmatched strength, luxury, and administrative reach, heart of a true empire.;;;;;x
