#Code;English;French;German;Spanish;Russian;x
fsb_open_courtyard;Open Courtyard;;;;;x
fsb_open_courtyard_desc;A cleared patch of earth with simple boundaries, serving as the heart of the early sanctuary. Used for open-air rituals and gatherings.;;;;;x
fsb_decorated_courtyard;Decorated Courtyard;;;;;x
fsb_decorated_courtyard_desc;Adorned with carvings, banners, and prayer stones; pilgrims gather here for teachings and blessings.;;;;;x
fsb_stone_courtyard;Stone Courtyard;;;;;x
fsb_stone_courtyard_desc;Stone paving and low walls make this courtyard a more permanent and dignified gathering place for the faithful.;;;;;x
fsb_cloistered_courtyard;Cloistered Courtyard;;;;;x
fsb_cloistered_courtyard_desc;Sheltered walkways and stone arcades surround the sacred yard, encouraging quiet reflection and learning.;;;;;x
fsb_enclosed_sanctuary_yard;Enclosed Sanctuary Yard;;;;;x
fsb_enclosed_sanctuary_yard_desc;Tall walls and iron-bound gates protect the sacred grounds, where priests teach and pilgrims seek blessing.;;;;;x
fsb_ornate_sanctuary_yard;Ornate Sanctuary Yard;;;;;x
fsb_ornate_sanctuary_yard_desc;Intricate mosaics, fountains, and shrines fill the yard, drawing scholars and devotees from afar.;;;;;x
fsb_blessed_sanctuary_courtyard;Blessed Sanctuary Courtyard;;;;;x
fsb_blessed_sanctuary_courtyard_desc;A legendary site of miracles, the courtyard draws the devout and the learned alike, greatly empowering the temples influence.;;;;;x
fsb_sanctified_courtyard;Sanctified Courtyard;;;;;x
fsb_sanctified_courtyard_desc;The entire courtyard is ritually blessed, imbuing the grounds with spiritual energy and attracting pilgrims in great numbers.;;;;;x
fsb_grand_sanctuary_courtyard;Grand Sanctuary Courtyard;;;;;x
fsb_grand_sanctuary_courtyard_desc;Magnificent arches, rare statuary, and golden inlays mark this as one of the worlds most sacred temple courtyards.;;;;;x
fsb_temple_courtyard;Temple Courtyard;;;;;x
fsb_temple_courtyard_desc;A legendary spiritual center, the Temple Courtyard is revered by all, radiating sanctity and power across the land.;;;;;x
