#Code;English;French;German;Spanish;Russian;x
fvd_baptismal_basin;Baptismal Basin;;;;;x
fvd_baptismal_basin_desc;A humble wooden basin, set near the entrance of a makeshift chapel, filled with blessed water for simple baptisms and rituals.;;;;;x
fvd_wooden_baptistery;Wooden Baptistery;;;;;x
fvd_wooden_baptistery_desc;A free-standing timber structure near the church, providing a dedicated space for baptisms and minor instruction in the faith.;;;;;x
fvd_stone_baptistery;Stone Baptistery;;;;;x
fvd_stone_baptistery_desc;A sturdy stone baptistery, symbolizing the growing permanence of the faith, and offering improved instruction and security for ceremonies.;;;;;x
fvd_decorated_baptistery;Decorated Baptistery;;;;;x
fvd_decorated_baptistery_desc;A stone baptistery adorned with carvings and iconography, inspiring awe and reverence among the faithful.;;;;;x
fvd_baptistery_pool;Baptistery Pool;;;;;x
fvd_baptistery_pool_desc;A grand immersion pool constructed for elaborate baptismal rites, attended by clergy and watched by the faithful.;;;;;x
fvd_ornate_baptistery;Ornate Baptistery;;;;;x
fvd_ornate_baptistery_desc;Lavishly adorned with mosaics and sacred relics, the ornate baptistery draws pilgrims and scholars alike.;;;;;x
fvd_cloistered_baptistery;Cloistered Baptistery;;;;;x
fvd_cloistered_baptistery_desc;Enclosed by a serene cloister, this baptistery becomes a center for religious learning and isolated prayer.;;;;;x
fvd_grand_baptistery;Grand Baptistery;;;;;x
fvd_grand_baptistery_desc;A vast and majestic baptistery, with high domes and intricate artwork, serving as the spiritual heart of the region.;;;;;x
fvd_sanctified_baptistery;Sanctified Baptistery;;;;;x
fvd_sanctified_baptistery_desc;Consecrated by high clergy, this baptistery radiates sanctity, drawing pilgrims and reinforcing the faith of the entire community.;;;;;x
fvd_cathedral_baptistery;Cathedral Baptistery;;;;;x
fvd_cathedral_baptistery_desc;The ultimate expression of faith: a monumental baptistery attached to the cathedral, resplendent with relics, holy art, and a beacon of spiritual power.;;;;;x
