#Code;English;French;German;Spanish;Russian;x
gbq_clerks_chamber_2;Clerks Chamber;;;;;x
gbq_clerks_chamber_2_desc;A rough wooden shack, with several clerks laboring over ledgers and scrolls by candlelight.;;;;;x
gbq_scribes_office_1;Scribes Office;;;;;x
gbq_scribes_office_1_desc;A makeshift tent or hut where a lone scribe records transactions, population, and taxes on scraps of parchment.;;;;;x
gbq_town_hall_3;Town Hall;;;;;x
gbq_town_hall_3_desc;A sturdy timber hall, serving as the administrative heart of the settlement and a gathering place for townsfolk.;;;;;x
gbq_council_hall_4;Council Hall;;;;;x
gbq_council_hall_4_desc;A grand hall of stone, where the city council convenes to debate laws and manage urban affairs.;;;;;x
gbq_records_archive_5;Records Archive;;;;;x
gbq_records_archive_5_desc;A fireproof stone vault, safely storing land deeds, contracts, and city records for generations.;;;;;x
gbq_chancery_6;Chancery;;;;;x
gbq_chancery_6_desc;A well-appointed stone building where official documents are drafted, sealed, and dispatched, and city administration is centralized.;;;;;x
gbq_bailiffs_quarters_7;Bailiffs Quarters;;;;;x
gbq_bailiffs_quarters_7_desc;Residences and offices for bailiffs tasked with enforcing the citys laws and collecting dues.;;;;;x
gbq_magistrates_court_8;Magistrates Court;;;;;x
gbq_magistrates_court_8_desc;An imposing stone courthouse where city magistrates adjudicate disputes and official matters.;;;;;x
gbq_civic_administration_9;Civic Administration;;;;;x
gbq_civic_administration_9_desc;A sprawling complex where the citys bureaucracy handles taxation, trade, and urban planning with unprecedented efficiency.;;;;;x
gbq_bureau_of_governance_10;Bureau of Governance;;;;;x
gbq_bureau_of_governance_10_desc;The pinnacle of city administration: a fortified and opulent center for all civic functions, symbolizing urban power and prosperity.;;;;;x
