#Code;English;French;German;Spanish;Russian;x
gml_wooden_ark;Wooden Ark;;;;;x
gml_wooden_ark_desc;A humble, frontier sanctuary built of rough-hewn timber, sheltering the sacred Ark and a few scrolls.;;;;;x
gml_stone_ark;Stone Ark;;;;;x
gml_stone_ark_desc;A sturdier sanctuary of chiseled stone, protecting the Ark from weather and raiders, and housing a small congregation.;;;;;x
gml_enclosed_ark_sanctuary;Enclosed Ark Sanctuary;;;;;x
gml_enclosed_ark_sanctuary_desc;A modest, walled sanctuary with a dedicated space for study and prayer, and improved security for the Ark.;;;;;x
gml_decorated_ark_sanctuary;Decorated Ark Sanctuary;;;;;x
gml_decorated_ark_sanctuary_desc;A sanctuary adorned with intricate decorations, inspiring awe and reverence, and attracting renowned scholars.;;;;;x
gml_ornate_ark_sanctuary;Ornate Ark Sanctuary;;;;;x
gml_ornate_ark_sanctuary_desc;A lavish sanctuary featuring ornate carvings, fine tapestries, and a grand Ark, drawing pilgrims and scholars from afar.;;;;;x
gml_ark_sanctuary_hall;Ark Sanctuary Hall;;;;;x
gml_ark_sanctuary_hall_desc;A grand hall added to the sanctuary, hosting ritual gatherings, feasts, and advanced religious instruction for the faithful.;;;;;x
gml_sanctified_ark_sanctuary;Sanctified Ark Sanctuary;;;;;x
gml_sanctified_ark_sanctuary_desc;A sanctuary sanctified by esteemed rabbis, its presence enhances the faith and learning of the community.;;;;;x
gml_blessed_ark_sanctuary;Blessed Ark Sanctuary;;;;;x
gml_blessed_ark_sanctuary_desc;A sanctuary renowned for miracles and blessings, its Ark said to inspire great piety and wisdom throughout the land.;;;;;x
gml_grand_ark_sanctuary;Grand Ark Sanctuary;;;;;x
gml_grand_ark_sanctuary_desc;A monumental sanctuary, resplendent in beauty and scholarship, a beacon of faith and wisdom for the entire realm.;;;;;x
gml_great_synagogue_ark_sanctuary;Great Synagogue Ark Sanctuary;;;;;x
gml_great_synagogue_ark_sanctuary_desc;The preeminent sanctuary, a legendary seat of learning and faith whose Ark draws pilgrims, sages, and rulers from distant lands.;;;;;x
