#Code;English;French;German;Spanish;Russian;x
gpe_wooden_steppe_shrine;Wooden Steppe Shrine;;;;;x
gpe_wooden_steppe_shrine_desc;A simple wooden shrine, decorated with carved totems and idols, offering a focal point for worship and gatherings.;;;;;x
gpe_grassy_knoll_altar;Grassy Knoll Altar;;;;;x
gpe_grassy_knoll_altar_desc;A humble, makeshift altar raised atop a gentle knoll, marked by stones and offerings to the spirits of the steppe.;;;;;x
gpe_stone_steppe_altar;Stone Steppe Altar;;;;;x
gpe_stone_steppe_altar_desc;A sturdy altar of hewn stone, surrounded by sacred markers, providing a lasting place for rites and offerings.;;;;;x
gpe_turf_sanctuary;Turf Sanctuary;;;;;x
gpe_turf_sanctuary_desc;A broad earthen mound with a partially sheltered altar, where the faithful gather for larger ceremonies beneath the open sky.;;;;;x
gpe_steppe_prayer_shelter;Steppe Prayer Shelter;;;;;x
gpe_steppe_prayer_shelter_desc;A timber-framed shelter with earthen walls, offering protection from the elements for prayer and council. Adorned with sacred banners and relics.;;;;;x
gpe_steppe_gathering_circle;Steppe Gathering Circle;;;;;x
gpe_steppe_gathering_circle_desc;A great ring of standing stones encircling a central altar, used for seasonal festivals, judgments, and assemblies of the faithful.;;;;;x
gpe_enclosed_steppe_shrine;Enclosed Steppe Shrine;;;;;x
gpe_enclosed_steppe_shrine_desc;A walled and roofed sanctuary with stone foundations, protecting relics and hosting learned priests who instruct followers in the faith.;;;;;x
gpe_raised_steppe_altar;Raised Steppe Altar;;;;;x
gpe_raised_steppe_altar_desc;A monumental stone platform, towering above the grasslands, visible for miles and drawing pilgrims from near and far to worship and give homage.;;;;;x
gpe_steppe_pilgrims_hall;Steppe Pilgrims Hall;;;;;x
gpe_steppe_pilgrims_hall_desc;An expansive complex of halls and courtyards, offering shelter, food, and teaching to pilgrims and novices traveling the sacred steppe routes.;;;;;x
gpe_grand_steppe_sanctuary;Grand Steppe Sanctuary;;;;;x
gpe_grand_steppe_sanctuary_desc;A vast walled sanctuary, crowned by an ornate temple and ringed by towers, the spiritual heart of the steppe and a beacon for all the faithful.;;;;;x
