#Code;English;French;German;Spanish;Russian;x
gro_temple_sacred_grove_1;Sacred Grove;;;;;x
temple_sacred_grove_1_desc;A simple clearing marked by sacred stones and ancient trees, serving as a frontier shrine for worship and meditation.;;;;;x
gro_temple_herb_garden_1;Herb Garden;;;;;x
gro_temple_herb_garden_1_desc;A simple plot planted with medicinal and culinary herbs, tended by local clergy to support temple needs.;;;;;x
gro_temple_enclosed_garden_1;Enclosed Garden;;;;;x
gro_temple_enclosed_garden_1_desc;A wattle-fenced garden tended by monks, providing a quiet place for reflection and learning.;;;;;x
gro_temple_orchard_plot_1;Orchard Plot;;;;;x
gro_temple_orchard_plot_1_desc;A small orchard of fruit trees, offering sustenance to the faithful and a modest bounty to the temple.;;;;;x
gro_temple_meditation_grove_1;Meditation Grove;;;;;x
temple_meditation_grove_1_desc;A carefully maintained thicket, ringed with simple benches, offering peace and spiritual resilience for clergy and visitors.;;;;;x
gro_temple_stone_fountain_1;Stone Fountain;;;;;x
gro_temple_stone_fountain_1_desc;A hand-carved stone fountain at the heart of the gardens, symbolizing purity and attracting pilgrims.;;;;;x
gro_temple_sanctuary_arboretum_1;Sanctuary Arboretum;;;;;x
gro_temple_sanctuary_arboretum_1_desc;A cultivated woodland, featuring exotic and sacred trees, serving both as a symbol of spiritual guardianship and a center for religious study.;;;;;x
gro_temple_walled_herbarium_1;Walled Herbarium;;;;;x
gro_temple_walled_herbarium_1_desc;A stone-walled enclosure protecting rare and sacred herbs, with records kept by learned scribes.;;;;;x
gro_temple_blessed_sanctuary_gardens_1;Blessed Sanctuary Gardens;;;;;x
gro_temple_blessed_sanctuary_gardens_1_desc;A series of extensive, ornamented gardens, blessed by the clergy and renowned for their beauty, attracting pilgrims and scholars alike.;;;;;x
gro_temple_divine_garden_estate_1;Divine Garden Estate;;;;;x
gro_temple_divine_garden_estate_1_desc;A magnificent estate of meticulously landscaped gardens, fountains, and shrines. A center of faith, study, and power, revered across the realm.;;;;;x
