#Code;English;French;German;Spanish;Russian;x
gse_frontier_hamlet;Frontier Hamlet;;;;;x
gse_frontier_hamlet_desc;A cluster of makeshift huts, earthworks, and communal fires, hastily assembled by the first settlers on the open plains.;;;;;x
gse_plains_croft;Plains Croft;;;;;x
gse_plains_croft_desc;A handful of sturdy timber dwellings, small barns, and palisaded yards primarily supporting subsistence farming on the steppe.;;;;;x
gse_fenced_pasture;Fenced Pasture;;;;;x
gse_fenced_pasture_desc;Expanded grazing fields enclosed by wooden fences, providing modest security and support for livestock herds and a growing population.;;;;;x
gse_wheat_field;Wheat Field;;;;;x
gse_wheat_field_desc;Broad fields of wheat provide both surplus food and taxable grain, supporting a larger settlement and expanding local muster rolls.;;;;;x
gse_open_field_system;Open Field System;;;;;x
gse_open_field_system_desc;A network of communal fields, crop rotation, and water management, allowing for a thriving rural economy and larger peasant levies.;;;;;x
gse_manor_farm;Manor Farm;;;;;x
gse_manor_farm_desc;The estates manorial heart, with stone walls, granaries, and workshops, offering security and vast agricultural output for both lord and levy.;;;;;x
gse_cattle_yard;Cattle Yard;;;;;x
gse_cattle_yard_desc;Large wooden stockyards and byres shelter cattle herds, greatly increasing local prosperity and the ability to feed and equip men-at-arms.;;;;;x
gse_farmstead;Farmstead;;;;;x
gse_farmstead_desc;A concentrated agricultural settlement, with stone barns, granaries, and a fortified enclosure, supporting both defense and prosperity on the open plains.;;;;;x
gse_plains_estate;Plains Estate;;;;;x
gse_plains_estate_desc;A sprawling estate with multiple manorial farms, fortified halls, and organized villages, commanding the open country and its resources.;;;;;x
gse_barons_demesne;Barons Demesne;;;;;x
gse_barons_demesne_desc;The full baronial domain: a fortified manor, administrative courts, granaries, armed retinues, and a thriving hub of rural life, projecting power across the open plains.;;;;;x
