#Code;English;French;German;Spanish;Russian;x
hix_camel_post;Camel Post;;;;;x
hix_camel_post_desc;A makeshift tent post for camel handlers, marking a safe stop for desert travelers and small trade caravans.;;;;;x
hix_shade_pavilion;Shade Pavilion;;;;;x
hix_shade_pavilion_desc;Sturdy awnings of woven cloth offer respite from the sun, enticing more merchants and travelers to linger and trade.;;;;;x
hix_oasis_market;Oasis Market;;;;;x
hix_oasis_market_desc;An open area where traders gather under palm shade, exchanging goods and news among the desert folk.;;;;;x
hix_sand_traders_hut;Sand Traders Hut;;;;;x
hix_sand_traders_hut_desc;Simple mud-brick huts for local traders, providing shelter for goods and acting as the first permanent shops.;;;;;x
hix_caravan_stop;Caravan Stop;;;;;x
hix_caravan_stop_desc;A large, fortified gathering point with guarded pens and wells, offering protection and rest for merchant caravans.;;;;;x
hix_desert_storehouse;Desert Storehouse;;;;;x
hix_desert_storehouse_desc;A fortified warehouse built of sun-baked bricks, safeguarding vital supplies and merchant goods from sandstorms and thieves.;;;;;x
hix_salt_exchange;Salt Exchange;;;;;x
hix_salt_exchange_desc;A bustling hub for the lucrative salt trade, attracting merchants from distant lands and increasing the citys wealth.;;;;;x
hix_desert_bazaar;Desert Bazaar;;;;;x
hix_desert_bazaar_desc;A sprawling, covered market of stone and tile, with merchant stalls, storage cellars, and a central auction floor for rare goods.;;;;;x
hix_dune_market_hall;Dune Market Hall;;;;;x
hix_dune_market_hall_desc;A grand, fortified market hall of sun-bleached stone, with high towers for watchmen and wide vaults for goods. The heart of desert commerce.;;;;;x
hix_grand_oasis_caravanserai;Grand Oasis Caravanserai;;;;;x
hix_grand_oasis_caravanserai_desc;A magnificent complex of courtyards, stables, and merchant lodges. The citys crowning jewel, renowned throughout the desert as a center of wealth and safety.;;;;;x
