#Code;English;French;German;Spanish;Russian;x
hko_majlis_room_1;Majlis Room;;;;;x
hko_majlis_room_1_desc;A makeshift tented gathering space, where the lord and his closest retainers meet on simple rugs and cushions to discuss matters of the day. Offers modest improvements to internal organization.;;;;;x
hko_reception_hall_2;Reception Hall;;;;;x
hko_reception_hall_2_desc;A simple wooden hall with benches and a fire, providing space for guests, vassals, and messengers. Slightly increases administrative efficiency and levy organization.;;;;;x
hko_divan_hall_3;Divan Hall;;;;;x
hko_divan_hall_3_desc;A sturdier, partially stone-built hall, with a dais for the lord and better furnishings for officials and envoys. Facilitates the exercise of authority and collection of dues.;;;;;x
hko_inner_court_4;Inner Court;;;;;x
hko_inner_court_4_desc;A well-fortified stone chamber at the castles heart, designed for formal assemblies and crucial decisions. Its imposing presence inspires loyalty and order.;;;;;x
hko_diwan_chamber_5;Diwan Chamber;;;;;x
hko_diwan_chamber_5_desc;A grand, decorated hall with marble floors and carved wood, where the lords council gathers. Its administrative prestige draws skilled retainers and enhances rule.;;;;;x
hko_council_pavilion_6;Council Pavilion;;;;;x
hko_council_pavilion_6_desc;A lavish, multi-chambered wing with private alcoves for councilors, minor lords, and envoys. Its administrative reach strengthens both defense and governance.;;;;;x
hko_viziers_hall_7;Viziers Hall;;;;;x
hko_viziers_hall_7_desc;A magnificent domed hall adorned with intricate tilework, where the lords most trusted advisors direct the affairs of the realm with efficiency and authority.;;;;;x
hko_palace_chamber_8;Palace Chamber;;;;;x
hko_palace_chamber_8_desc;A vast, resplendent hall with marble columns, mosaics, and a raised throne. Its grandeur impresses vassals and increases the realms prestige.;;;;;x
hko_court_of_justice_9;Court of Justice;;;;;x
hko_court_of_justice_9_desc;An illustrious judicial chamber, with galleries for public hearings and a dais for the lord and magistrates. Justice rendered here inspires respect and order throughout the realm.;;;;;x
hko_grand_audience_hall_10;Grand Audience Hall;;;;;x
hko_grand_audience_hall_10_desc;A legendary, awe-inspiring audience hall at the heart of the stronghold. Its splendor and authority serve as the ultimate symbol of the lords might and the unity of the realm.;;;;;x
