#Code;English;French;German;Spanish;Russian;x
tp_school_1;Wooden Schoolroom;;;;;x
tp_school_1_desc;A humble, hastily built structure of timber and thatch, where basic religious instruction is given to local children and converts.;;;;;x
hqb_scripture_hall;Scripture Hall;;;;;x
hqb_scripture_hall_desc;A dedicated hall for gatherings, readings, and copying of holy texts, fostering religious unity and learning.;;;;;x
tp_school_2;Stone Teaching Room;;;;;x
tp_school_2_desc;A small stone chamber, offering improved shelter and permanence for scripture lessons and study.;;;;;x
hqb_study_chamber;Study Chamber;;;;;x
hqb_study_chamber_desc;A fortified chamber for deeper study, equipped with scriptoria and shelves for sacred works, attracting learned clergy.;;;;;x
hqb_expanded_schoolhouse;Expanded Schoolhouse;;;;;x
hqb_expanded_schoolhouse_desc;A large, stone-built complex with several classrooms, scriptoria, and a small library, serving as a center for local religious education.;;;;;x
hqb_scholars_hall;Scholars' Hall;;;;;x
hqb_scholars_hall_desc;A grand hall for scholars and priests, with expanded scriptoria, larger libraries, and spaces for theological debate and instruction.;;;;;x
hqb_learning_cloister;Learning Cloister;;;;;x
hqb_learning_cloister_desc;A cloistered complex where monks and learned clergy dedicate themselves to scripture, copying texts, and the instruction of initiates.;;;;;x
hqb_scripture_academy;Scripture Academy;;;;;x
hqb_scripture_academy_desc;A prestigious academy, drawing scholars from afar, with extensive libraries, lecture halls, and scriptoriums. The heart of religious knowledge in the region.;;;;;x
hqb_sanctified_school;Sanctified School;;;;;x
hqb_sanctified_school_desc;A school blessed by the highest religious authorities, revered for its teachings and spiritual guidance. It is a beacon for the devout, reinforcing faith and culture.;;;;;x
hqb_cathedral_school;Cathedral School;;;;;x
hqb_cathedral_school_desc;A magnificent cathedral school, seat of theological learning, where future bishops and great scholars are trained. Its influence shapes the faith for generations.;;;;;x
