#Code;English;French;German;Spanish;Russian;x
iau_weapon_shed;Weapon Shed;;;;;x
iau_weapon_shed_desc;A simple timber lean-to or tent near the palisade, storing basic arms for the levy in times of need.;;;;;x
iau_arms_locker;Arms Locker;;;;;x
iau_arms_locker_desc;A locked timber structure with racks and chests for storing better-maintained weaponry and basic armor for defenders.;;;;;x
iau_smithy_store;Smithy Store;;;;;x
iau_smithy_store_desc;A modest stone outbuilding near the blacksmith, used for storing and issuing newly-forged arms and armor for the garrison.;;;;;x
iau_armament_room;Armament Room;;;;;x
iau_armament_room_desc;A fortified stone chamber within the curtain wall, well-organized for rapid arming of troops in emergencies.;;;;;x
iau_stone_armory;Stone Armory;;;;;x
iau_stone_armory_desc;A large, stone-vaulted armory with secure doors, racks, and climate control to keep weapons in peak condition.;;;;;x
iau_secure_armory;Secure Armory;;;;;x
iau_secure_armory_desc;A reinforced, guarded vault deep within the keep, with strict inventory and guards, ensuring no arms are stolen or lost.;;;;;x
iau_expanded_armory;Expanded Armory;;;;;x
iau_expanded_armory_desc;A sprawling complex of interconnected storerooms, allowing the castle to equip a host for prolonged campaigns.;;;;;x
iau_ordnance_depot;Ordnance Depot;;;;;x
iau_ordnance_depot_desc;A vast, organized arsenal containing not only melee arms but siege equipment, armor for hundreds, and specialized weaponry.;;;;;x
iau_grand_arsenal;Grand Arsenal;;;;;x
iau_grand_arsenal_desc;A monumental fortified complex housing weapon stores, workshops, and training yards—centerpiece of the castle’s might.;;;;;x
iau_royal_armory;Royal Armory;;;;;x
iau_royal_armory_desc;A legendary stronghold, bristling with the finest arms, armor, and siege engines, every defender is a paragon of war.;;;;;x
