#Code;English;French;German;Spanish;Russian;x
icl_coin_chamber_1;Coin Chamber;;;;;x
icl_coin_chamber_1_desc;A hastily dug earthen pit sheltered under wooden planks, serving as a rudimentary chamber for storing newly gathered coinage and valuables.;;;;;x
icl_strongbox_room_2;Strongbox Room;;;;;x
icl_strongbox_room_2_desc;A locked wooden crate within a guarded tent, this strongbox room provides a primitive but more secure space for treasury storage.;;;;;x
icl_archive_cellar_3;Archive Cellar;;;;;x
icl_archive_cellar_3_desc;A sunken stone cellar beneath the keep, doubling as a record room for ledgers and a vault for coins, guarded day and night.;;;;;x
icl_treasury_vault_4;Treasury Vault;;;;;x
icl_treasury_vault_4_desc;A fortified underground vault with stone walls and iron doors, protected by armed guards and intricate locks, for the storage of the realms wealth.;;;;;x
icl_gold_reserve_5;Gold Reserve;;;;;x
icl_gold_reserve_5_desc;A deep, heavily fortified chamber lined with granite, where gold bars and coinage are meticulously counted and guarded by elite soldiers and traps.;;;;;x
icl_waqf_treasury_7;Waqf Treasury;;;;;x
icl_waqf_treasury_7_desc;A grand structure managing the endowments and revenues of the realm, with secure vaults and elite guards ensuring stability and prosperity.;;;;;x
icl_minting_room_6;Minting Room;;;;;x
icl_minting_room_6_desc;A dedicated chamber with skilled coiners and stamping tools, ensuring the steady production of standardized coinage for the realm.;;;;;x
icl_diwan_safehouse_9;Diwan Safehouse;;;;;x
icl_diwan_safehouse_9_desc;An inner sanctum managed by the Diwan, where the realms greatest treasures and sensitive records are protected by elite retainers and secret passages.;;;;;x
icl_royal_treasury_8;Royal Treasury;;;;;x
icl_royal_treasury_8_desc;The most secure and lavish treasury of the realm, combining advanced security, administration, and displays of wealth to awe vassals and deter thieves.;;;;;x
icl_house_of_wealth_10;House of Wealth;;;;;x
icl_house_of_wealth_10_desc;A monumental treasury complex at the heart of the castle, protected by masterful defenses, housing the riches and ledgers of a powerful realm, and serving as a symbol of prosperity and order.;;;;;x
