#Code;English;French;German;Spanish;Russian;x
ijf_yurt_camp_1;Yurt Camp;;;;;x
ijf_yurt_camp_1_desc;A cluster of felt yurts and tents forms the first steppe encampment, offering rudimentary shelter and a base for early settlement.;;;;;x
ijf_pasture_pen_3;Pasture Pen;;;;;x
ijf_pasture_pen_3_desc;Fenced grazing lands close to the camp, allowing for basic animal husbandry and small herds to be kept safely.;;;;;x
ijf_timber_palisade_2;Timber Palisade;;;;;x
ijf_timber_palisade_2_desc;A simple surrounding wall of sharpened timber stakes, giving the camp basic protection against raiders and wild beasts.;;;;;x
ijf_stock_enclosure_5;Stock Enclosure;;;;;x
ijf_stock_enclosure_5_desc;Stone and timber enclosures for livestock and vital supplies, further securing wealth and increasing the settlements resilience.;;;;;x
ijf_steppe_watchpost_4;Steppe Watchpost;;;;;x
ijf_steppe_watchpost_4_desc;Raised earth mounds and wooden towers, giving lookouts clear views across the plains, improving advance warning against attacks.;;;;;x
ijf_horse_herding_ground_6;Horse Herding Ground;;;;;x
ijf_horse_herding_ground_6_desc;Vast fenced ranges dedicated to breeding and training horses, the pride of the steppe, providing swift cavalry for the defense of the settlement.;;;;;x
ijf_steppe_village_7;Steppe Village;;;;;x
ijf_steppe_village_7_desc;A permanent settlement of wooden and earthen houses, with organized lanes and communal gathering areas, transforming the camp into a true village.;;;;;x
ijf_trading_post_8;Trading Post;;;;;x
ijf_trading_post_8_desc;A bustling market hub, attracting merchants and caravans, and turning the settlement into a node of steppe commerce.;;;;;x
ijf_steppe_fort_9;Steppe Fort;;;;;x
ijf_steppe_fort_9_desc;A formidable timber and earthwork fortress with multiple defensive rings, providing a true stronghold against invaders.;;;;;x
ijf_nomad_bastion_10;Nomad Bastion;;;;;x
ijf_nomad_bastion_10_desc;A grand citadel of the open plains: stonework, reinforced ramparts, and a mighty keep serve as a symbol of authority and a secure seat of power on the steppe.;;;;;x
