#Code;English;French;German;Spanish;Russian;x
ioq_wellspring;Wellspring;;;;;x
ioq_wellspring_desc;A simple, hand-dug well lined with timber, providing the settlement with its first reliable access to fresh water.;;;;;x
ioq_rain_cistern;Rain Cistern;;;;;x
ioq_rain_cistern_desc;A large, communal cistern collects rainwater, supplementing the towns supply and supporting greater trade and productivity.;;;;;x
ioq_public_well;Public Well;;;;;x
ioq_public_well_desc;A stone-lined well at the center of the settlement, encouraging trade and gathering while improving civic order.;;;;;x
ioq_draw_well;Draw Well;;;;;x
ioq_draw_well_desc;A deep, stone-lined draw well with pulley mechanisms, increasing water security and enabling urban expansion.;;;;;x
ioq_stone_aqueduct;Stone Aqueduct;;;;;x
ioq_stone_aqueduct_desc;A masterwork of masonry, this stone aqueduct guarantees abundant, clean water and attracts merchants from afar.;;;;;x
ioq_timber_aqueduct;Timber Aqueduct;;;;;x
ioq_timber_aqueduct_desc;A wooden aqueduct channels water from distant springs, allowing the city to thrive and supporting more advanced commerce.;;;;;x
ioq_water_tower;Water Tower;;;;;x
ioq_water_tower_desc;A tall stone tower stores and distributes water across the city, enabling greater urban density and boosting trade.;;;;;x
ioq_reservoir;Reservoir;;;;;x
ioq_reservoir_desc;A massive, engineered reservoir provides immense water storage, safeguarding against drought and supporting city growth.;;;;;x
ioq_urban_fountain;Urban Fountain;;;;;x
ioq_urban_fountain_desc;A grand fountain in the city center serves as both a water source and a symbol of civic pride, attracting visitors and boosting prosperity.;;;;;x
ioq_pumping_station;Pumping Station;;;;;x
ioq_pumping_station_desc;An advanced waterworks utilizing waterwheels and pumps to deliver water citywide, enabling a flourishing metropolis and unmatched trade.;;;;;x
