#Code;English;French;German;Spanish;Russian;x
iwa_wooden_mandapa;Wooden Mandapa;;;;;x
iwa_wooden_mandapa_desc;A simple wooden pavilion, hastily erected by traveling priests to serve as a frontier shrine and gathering space.;;;;;x
iwa_decorated_mandapa;Decorated Mandapa;;;;;x
iwa_decorated_mandapa_desc;A mandapa adorned with carved pillars and religious motifs, drawing pilgrims and scholars alike.;;;;;x
iwa_stone_mandapa;Stone Mandapa;;;;;x
iwa_stone_mandapa_desc;A more permanent pavilion built from dressed stone, offering better shelter for rituals and knowledge transmission.;;;;;x
iwa_mandapa_hall;Mandapa Hall;;;;;x
iwa_mandapa_hall_desc;A grand open hall, hosting festivals and advanced scriptural learning, constructed with advanced masonry.;;;;;x
iwa_ornate_mandapa;Ornate Mandapa;;;;;x
iwa_ornate_mandapa_desc;A lavishly decorated mandapa with intricate sculptures and inlaid gems, attracting devotees from distant lands.;;;;;x
iwa_enclosed_mandapa;Enclosed Mandapa;;;;;x
iwa_enclosed_mandapa_desc;A fortified and walled mandapa, providing protection to sacred relics and clergy during times of unrest.;;;;;x
iwa_mandapa_pavilion;Mandapa Pavilion;;;;;x
iwa_mandapa_pavilion_desc;A sprawling pavilion complex, housing scholars, acolytes, and a library for sacred texts.;;;;;x
iwa_sanctified_mandapa;Sanctified Mandapa;;;;;x
iwa_sanctified_mandapa_desc;A sanctified site, blessed by revered ascetics, imbuing the grounds with spiritual potency and learning.;;;;;x
iwa_grand_mandapa;Grand Mandapa;;;;;x
iwa_grand_mandapa_desc;A majestic mandapa with towering pillars, elaborate murals, and a renowned school of theology.;;;;;x
iwa_temple_mandapa;Temple Mandapa;;;;;x
iwa_temple_mandapa_desc;The ultimate sanctum, a legendary mandapa revered across the land for its spiritual authority and scholarly excellence.;;;;;x
