#Code;English;French;German;Spanish;Russian;x
jts_simple_reliquary;Simple Reliquary;;;;;x
jts_simple_reliquary_desc;A humble wooden chest kept near the altar, providing the first secure storage for sacred relics, watched over by the temples clergy.;;;;;x
jts_stone_reliquary_alcove;Stone Reliquary Alcove;;;;;x
jts_stone_reliquary_alcove_desc;A modest alcove built from stone within the temple walls, offering better protection for relics and attracting local pilgrims.;;;;;x
jts_guarded_reliquary_room;Guarded Reliquary Room;;;;;x
jts_guarded_reliquary_room_desc;A small, locked chamber with iron-bound doors and regular night vigils, ensuring the relics are safe from theft and desecration.;;;;;x
jts_vaulted_reliquary;Vaulted Reliquary;;;;;x
jts_vaulted_reliquary_desc;A strong, stone-vaulted chamber deep within the temple, requiring advanced construction techniques, with ornate ironwork and elaborate locks.;;;;;x
jts_reinforced_reliquary;Reinforced Reliquary;;;;;x
jts_reinforced_reliquary_desc;A reliquary chamber with steel reinforcements, secret compartments, and a permanent roster of temple guards, making it nearly impervious to intrusion.;;;;;x
jts_reliquary_treasury;Reliquary Treasury;;;;;x
jts_reliquary_treasury_desc;A grand treasury built to both display and safeguard relics, attracting pilgrims and increasing temple wealth, with a dedicated staff of clerics and guards.;;;;;x
jts_blessed_reliquary_hall;Blessed Reliquary Hall;;;;;x
jts_blessed_reliquary_hall_desc;A sanctified hall, richly decorated and blessed by high-ranking clergy, drawing the devout from far and wide and cementing the temples spiritual influence.;;;;;x
jts_golden_reliquary_chamber;Golden Reliquary Chamber;;;;;x
jts_golden_reliquary_chamber_desc;Walls gilded with gold leaf, this chamber is both a testament to faith and a fortress for holy relics, inspiring awe and reverence among all who enter.;;;;;x
jts_jeweled_reliquary_vault;Jeweled Reliquary Vault;;;;;x
jts_jeweled_reliquary_vault_desc;A vault adorned with gemstones and rare marbles, its opulence draws the faithful and the powerful, serving as both sanctuary and unbreakable stronghold.;;;;;x
jts_sanctified_reliquary_sanctuary;Sanctified Reliquary Sanctuary;;;;;x
jts_sanctified_reliquary_sanctuary_desc;The holiest sanctuary, consecrated by the highest religious authorities, with relics displayed behind crystal and gold, protected by elite guards and sacred rites.;;;;;x
