#Code;English;French;German;Spanish;Russian;x
ca_training_grounds_1;Cleared Field;;;;;x
ca_training_grounds_1_desc;A patch of earth cleared of brush and stones, providing a space for basic foot drills and simple martial gatherings.;;;;;x
ca_training_grounds_2;Training Patch;;;;;x
ca_training_grounds_2_desc;A more defined area marked by wooden posts and basic fencing, used for regular weapons practice and drills.;;;;;x
ca_training_grounds_3;Drill Ground;;;;;x
ca_training_grounds_3_desc;A leveled field with marked lanes and makeshift shelters, suitable for organized drilling and rudimentary formation practice.;;;;;x
jux_archery_range;Archery Range;;;;;x
jux_archery_range_desc;A dedicated space with straw targets, covered shooting stands, and a small store of bows for regular archery practice.;;;;;x
jux_tilting_yard;Tilting Yard;;;;;x
jux_tilting_yard_desc;A fenced and sanded yard with tilting barriers and pavilions, allowing for cavalry drills, jousts, and advanced knightly training.;;;;;x
jux_obstacle_course;Obstacle Course;;;;;x
jux_obstacle_course_desc;A complex of wooden barricades, ditches, walls, and rope climbs, designed to test the endurance and agility of all castle levies.;;;;;x
jux_combat_pit;Combat Pit;;;;;x
jux_combat_pit_desc;A deepened pit surrounded by wooden palisades, used for live combat drills and mock battles under the watchful eyes of seasoned instructors.;;;;;x
jux_siege_practice_yard;Siege Practice Yard;;;;;x
jux_siege_practice_yard_desc;A fortified training ground with mock walls, siege towers, and engines for drilling troops in the arts of siegecraft and defense.;;;;;x
jux_warriors_arena;Warriors Arena;;;;;x
jux_warriors_arena_desc;A grand, stone-walled arena for martial tournaments, public drills, and the training of elite retainers, inspiring awe in friend and foe alike.;;;;;x
jux_champions_grounds;Champions Grounds;;;;;x
jux_champions_grounds_desc;A vast, masterfully engineered training complex with permanent barracks, stables, and command towers, where the mightiest of knights and warriors hone their skills.;;;;;x
