#Code;English;French;German;Spanish;Russian;x
kch_hill_camp;Hill Camp;;;;;x
kch_hill_camp_desc;A makeshift encampment of tents and wooden shelters, nestled defensively on a hilltop. The first step in establishing a secure foothold in the wild hills.;;;;;x
kch_earthwork_bank;Earthwork Bank;;;;;x
kch_earthwork_bank_desc;Dug trenches and piled earth banks reinforce the camps perimeter, offering modest resistance to raiders and wild beasts alike.;;;;;x
kch_hilltop_palisade;Hilltop Palisade;;;;;x
kch_hilltop_palisade_desc;A stout wooden palisade encircling the earthworks, manned by local levies and simple watchtowers to spot approaching threats.;;;;;x
kch_stone_ringfort;Stone Ringfort;;;;;x
kch_stone_ringfort_desc;Low stone walls replace the old palisade, forming a ringfort with improved defensive positions and protected entryways.;;;;;x
kch_guarded_hillfort;Guarded Hillfort;;;;;x
kch_guarded_hillfort_desc;A robust stone fortification with towers at intervals and reinforced gates, guarded by trained watchmen.;;;;;x
kch_wooded_bastion;Wooded Bastion;;;;;x
kch_wooded_bastion_desc;Solid timber and stone bastions are built atop the slopes, using the dense local woods as both resource and camouflage for defenders.;;;;;x
kch_hilltop_tower;Hilltop Tower;;;;;x
kch_hilltop_tower_desc;A tall stone tower rises above the hill, serving as a formidable keep, command post, and beacon for all the surrounding lands.;;;;;x
kch_hillside_keep;Hillside Keep;;;;;x
kch_hillside_keep_desc;An imposing stone keep with multiple layers of walls, storerooms, barracks, and a central tower dominating the hillside.;;;;;x
kch_hill_citadel;Hill Citadel;;;;;x
kch_hill_citadel_desc;A mighty citadel crowns the hill, its bastions and curtain walls bristling with defenders and archery slits, commanding the valleys below.;;;;;x
kch_cairn_fortress;Cairn Fortress;;;;;x
kch_cairn_fortress_desc;The ultimate expression of hill fortification: a massive fortress built amidst ancient cairns, its walls and towers dominating the region and offering unmatched defense and prestige.;;;;;x
