#Code;English;French;German;Spanish;Russian;x
khg_livestock_corral;Livestock Corral;;;;;x
khg_livestock_corral_desc;A rough-fenced corral for cattle and sheep, expanding local animal trade and supply for the growing settlement.;;;;;x
khg_horse_barn;Horse Barn;;;;;x
khg_horse_barn_desc;A sturdy timber barn with thatched roof, offering secure stabling and improved care for horses, oxen, and mules.;;;;;x
khg_stable_pen;Stable Pen;;;;;x
khg_stable_pen_desc;A makeshift enclosure of wooden posts and rope, providing the simplest shelter for horses and pack animals at a citys edge.;;;;;x
khg_oxen_shed;Oxen Shed;;;;;x
khg_oxen_shed_desc;A sizable, stone-based shed for oxen and draft beasts, essential for supporting citys markets and heavy trade wagons.;;;;;x
khg_riding_yard;Riding Yard;;;;;x
khg_riding_yard_desc;A fenced training ground for horses and riders, boosting urban mobility, animal trade, and civic defense.;;;;;x
khg_equerry_stables;Equerry Stables;;;;;x
khg_equerry_stables_desc;A professionally staffed stable complex, overseen by an equerry, for boarding, breeding, and trading prized livestock.;;;;;x
khg_stud_farm;Stud Farm;;;;;x
khg_stud_farm_desc;A grand stud farm for breeding elite horses and livestock, fueling both commerce and urban pride.;;;;;x
khg_rangers_mews;Rangers Mews;;;;;x
khg_rangers_mews_desc;An advanced stable and mews complex, where city rangers and mounted scouts are housed, improving security and prosperity.;;;;;x
khg_herdsmen_post;Herdsmens Post;;;;;x
khg_herdsmen_post_desc;A fortified headquarters for city herdsmen and trading guilds, ensuring efficient management and security of urban livestock commerce.;;;;;x
khg_grand_livery;Grand Livery;;;;;x
khg_grand_livery_desc;A magnificent, multi-tiered livery complex, serving as the central hub for all urban horse and livestock trade, breeding, and civic management.;;;;;x
