#Code;English;French;German;Spanish;Russian;x
kso_stone_outcrop;Stone Outcrop;;;;;x
kso_stone_outcrop_desc;A rugged cluster of exposed stones and makeshift shelters marks the first step in exploiting the hills. Laborers gather loose rocks and begin to clear the land for future quarrying.;;;;;x
kso_quarry_shelter;Quarry Shelter;;;;;x
kso_quarry_shelter_desc;A cluster of sturdy huts and covered workspaces provides shelter for workers and tools, increasing both productivity and safety in the quarrying process.;;;;;x
kso_hillside_pit;Hillside Pit;;;;;x
kso_hillside_pit_desc;A shallow pit dug into the hillside, with simple timber supports and rough-hewn ramps, allows for the extraction of larger stone blocks from beneath the surface.;;;;;x
kso_block_cutters_shed;Block Cutters Shed;;;;;x
kso_block_cutters_shed_desc;A permanent stone shed fitted with robust workbenches and simple cranes, allowing skilled masons to precisely cut and finish large stone blocks for construction and trade.;;;;;x
kso_hillsmens_lodge;Hillsmens Lodge;;;;;x
kso_hillsmens_lodge_desc;A fortified lodge for foremen and quarry guards, offering protection for the workforce and a rudimentary administrative center for managing quarry operations.;;;;;x
kso_stone_hoist;Stone Hoist;;;;;x
kso_stone_hoist_desc;The construction of treadwheel cranes and reinforced hoists enables the rapid and safe movement of massive stone blocks, improving output and attracting merchants seeking high-quality building materials.;;;;;x
kso_hills_guild;Hills Guild;;;;;x
kso_hills_guild_desc;A formal guildhall organizes master masons, quarrymen, and stone merchants, securing lucrative trade contracts and overseeing apprenticeship programs to grow local expertise.;;;;;x
kso_rock_cart_track;Rock Cart Track;;;;;x
kso_rock_cart_track_desc;A network of stone-paved cart tracks and waystations connects the quarry to the nearest town, greatly increasing trade throughput and the ability to export stone throughout the region.;;;;;x
kso_hillmans_keep;Hillmans Keep;;;;;x
kso_hillmans_keep_desc;A commanding stone keep rises above the quarry, serving both as a powerful defensive stronghold and as the administrative heart of the hills' stone trade and labor force.;;;;;x
kso_highland_quarryworks;Highland Quarryworks;;;;;x
kso_highland_quarryworks_desc;A sprawling complex of advanced quarrying operations, fortified depots, and merchant offices, the Highland Quarryworks dominates the hills, exporting stone and fostering prosperity across distant lands.;;;;;x
