#Code;English;French;German;Spanish;Russian;x
kvr_totem_glade;Totem Glade;;;;;x
kvr_totem_glade_desc;Wooden totems and carved figures mark a sheltered glade, drawing merchants and marketfolk for periodic trade fairs.;;;;;x
kvr_stone_circle;Stone Circle;;;;;x
kvr_stone_circle_desc;Rough, upright stones form a circle, attracting traders, craftsmen, and travelers alike.;;;;;x
kvr_shrine_clearing;Shrine Clearing;;;;;x
kvr_shrine_clearing_desc;A simple, cleared patch of earth at the citys edge, used for gatherings and minor market stalls.;;;;;x
kvr_ritual_hearth;Ritual Hearth;;;;;x
kvr_ritual_hearth_desc;A large, stone-lined hearth surrounded by timber benches, serving as a focal point for civic gatherings and local council meetings.;;;;;x
kvr_ancestral_oak;Ancestral Oak;;;;;x
kvr_ancestral_oak_desc;A massive, ancient oak dominates the grove, surrounded by paved paths, market booths, and council huts.;;;;;x
kvr_sacred_pool;Sacred Pool;;;;;x
kvr_sacred_pool_desc;A spring-fed pool encircled by carved stones and wooden platforms, bustling with traders and city folk.;;;;;x
kvr_druidic_grove;Druidic Grove;;;;;x
kvr_druidic_grove_desc;A cultivated grove with stone benches, market pavilions, and administrative huts, serving as the citys civic heart.;;;;;x
kvr_spirit_thicket;Spirit Thicket;;;;;x
kvr_spirit_thicket_desc;Thick groves, hidden pathways, and ornate market halls provide security, trade, and city governance.;;;;;x
kvr_hidden_sanctuary;Hidden Sanctuary;;;;;x
kvr_hidden_sanctuary_desc;A secluded urban park ringed with stone walls and guarded entrances, this sanctuary houses city treasuries and special markets.;;;;;x
kvr_great_grove;Great Grove;;;;;x
kvr_great_grove_desc;A vast, walled, and cultivated urban woodland, home to bustling trade, city administration, and a powerful seat of civic authority.;;;;;x
