#Code;English;French;German;Spanish;Russian;x
mho_castle_tinker_shed;Tinker Shed;;;;;x
mho_castle_tinker_shed_desc;A makeshift shelter of tarps and wood, where itinerant tinkerers mend tools and weapons. Provides essential repairs for the earliest days of settlement.;;;;;x
mho_castle_craftsmans_hut;Craftsmans Hut;;;;;x
mho_castle_craftsmans_hut_desc;A simple log structure where skilled craftsmen gather to repair arms, armor, and common tools, improving the castles basic readiness.;;;;;x
mho_castle_carpenters_shop;Carpenters Shop;;;;;x
mho_castle_carpenters_shop_desc;A sturdier timber-framed shop, where carpenters fashion defensive works and siege equipment, enhancing the military utility of the castle.;;;;;x
mho_castle_masons_yard;Masons Yard;;;;;x
mho_castle_masons_yard_desc;A bustling open yard with stonecutters and masons at work, producing quarried stone for fortifications and advanced defenses.;;;;;x
mho_castle_artisan_hall;Artisan Hall;;;;;x
mho_castle_artisan_hall_desc;A grand hall that attracts renowned artisans, improving the castles repute, defensive works, and overall prosperity through their collective skill.;;;;;x
mho_castle_smiths_forge;Smiths Forge;;;;;x
mho_castle_smiths_forge_desc;A large stone forge and smithy, with apprentices and journeymen producing arms, armor, and vital tools for war and siege.;;;;;x
mho_castle_guild_workshop;Guild Workshop;;;;;x
mho_castle_guild_workshop_desc;A well-established guildhouse, uniting specialized workshops under one roof. The guild brings efficiency, innovation, and prestige to the fortress.;;;;;x
mho_castle_engineer_atelier;Engineer Atelier;;;;;x
mho_castle_engineer_atelier_desc;A renowned atelier staffed by military engineers, inventors, and architects, producing siege engines, complex defenses, and innovations that secure the realms future.;;;;;x
mho_castle_toolmaker_workshop;Toolmaker Workshop;;;;;x
mho_castle_toolmaker_workshop_desc;A robust workshop employing skilled toolmakers, producing advanced equipment that increases efficiency across castle and army operations.;;;;;x
mho_castle_masters_workshop;Masters Workshop;;;;;x
mho_castle_masters_workshop_desc;A prestigious workshop overseen by master craftsmen whose advanced techniques and inventions grant the castle unmatched defensive and economic strength.;;;;;x
