#Code;English;French;German;Spanish;Russian;x
mjy_pack_animal_post;Pack Animal Post;;;;;x
mjy_pack_animal_post_desc;A makeshift corral and tent for beasts of burden, enabling the first rudimentary commerce and travel through the wild frontier.;;;;;x
mjy_waystation;Waystation;;;;;x
mjy_waystation_desc;A rough shelter and firepit for travelers and merchants, offering basic rest and resupply along primitive tracks.;;;;;x
mjy_customs_booth;Customs Booth;;;;;x
mjy_customs_booth_desc;A small wooden hut and palisade where tolls and duties are levied on passing merchants, formalizing local trade authority.;;;;;x
mjy_trade_depot;Trade Depot;;;;;x
mjy_trade_depot_desc;A fenced enclosure with guarded sheds for goods, providing a safe exchange point and attracting local markets.;;;;;x
mjy_wagon_yard;Wagon Yard;;;;;x
mjy_wagon_yard_desc;A large, guarded yard with stables and repair sheds for merchant wagons, facilitating the swift movement and storage of goods.;;;;;x
mjy_caravanserai;Caravanserai;;;;;x
mjy_caravanserai_desc;A fortified stone inn and courtyard, sheltering traders, animals, and wares, boosting long-distance trade and security.;;;;;x
mjy_freight_warehouse;Freight Warehouse;;;;;x
mjy_freight_warehouse_desc;A sprawling, multi-story warehouse of timber and stone, allowing vast quantities of goods to be safely stored and inventoried for distant markets.;;;;;x
mjy_trading_house;Trading House;;;;;x
mjy_trading_house_desc;A multi-roomed stone building for merchants, brokers, and record-keepers, centralizing negotiations and enhancing trade oversight.;;;;;x
mjy_merchants_exchange;Merchants' Exchange;;;;;x
mjy_merchants_exchange_desc;A grand hall with vaulted ceilings, hosting merchant guilds, brokers, and notaries, where contracts are signed and fortunes made.;;;;;x
mjy_grand_trade_terminus;Grand Trade Terminus;;;;;x
mjy_grand_trade_terminus_desc;An immense stone complex with towers, counting houses, vaults, and bustling markets, serving as the heart of international commerce and administration.;;;;;x
