#Code;English;French;German;Spanish;Russian;x
mvs_church_green_1;Church Green; ; ; ; ;x
mvs_church_green_1_desc;A grassy field at the heart of the city, used for gatherings and worship. ; ; ; ; ;x
mvs_church_cloister_2;Church Cloister; ; ; ; ;x
mvs_church_cloister_2_desc;A small cloister for clergy and scholars, fostering learning and faith. ; ; ; ; ;x
mvs_church_court_3;Church Court; ; ; ; ;x
mvs_church_court_3_desc;A formal court for city and church officials, improving governance and order. ; ; ; ; ;x
mvs_church_almonry_4;Church Almonry; ; ; ; ;x
mvs_church_almonry_4_desc;A center for charity and aid, supporting the poor and boosting local opinion. ; ; ; ; ;x
mvs_church_plaza_5;Church Plaza; ; ; ; ;x
mvs_church_plaza_5_desc;A bustling plaza for trade and gatherings, increasing commerce and prosperity. ; ; ; ; ;x
mvs_church_precinct_6;Church Precinct; ; ; ; ;x
mvs_church_precinct_6_desc;A walled precinct providing security and a sense of community. ; ; ; ; ;x
mvs_church_procession_7;Procession Lane; ; ; ; ;x
mvs_church_procession_7_desc;A ceremonial lane for processions and festivals, enhancing prestige and trade. ; ; ; ; ;x
mvs_church_belltower_8;Church Belltower; ; ; ; ;x
mvs_church_belltower_8_desc;A tall belltower, calling the faithful and strengthening city defenses. ; ; ; ; ;x
mvs_church_crosswalk_9;Church Crosswalk; ; ; ; ;x
mvs_church_crosswalk_9_desc;A paved crosswalk linking the city, improving movement and supply. ; ; ; ; ;x
mvs_cathedral_10;Grand Cathedral; ; ; ; ;x
mvs_cathedral_10_desc;A magnificent cathedral, the pride of the city, greatly boosting prosperity, faith, and prestige. ; ; ; ; ;x
