#Code;English;French;German;Spanish;Russian;x
mxe_mud_brick_storehouse;Mud Brick Storehouse;;;;;x
mxe_mud_brick_storehouse_desc;A simple, hastily-constructed storehouse of sun-dried mud bricks. Used for basic grain storage, offering minimal protection.;;;;;x
mxe_wattle_granary;Wattle Granary;;;;;x
mxe_wattle_granary_desc;A wattle-and-daub granary, allowing for improved airflow and better preservation of sacred grain stores.;;;;;x
mxe_sunken_grain_pit;Sunken Grain Pit;;;;;x
mxe_sunken_grain_pit_desc;Ingeniously dug below ground, these pits offer both security and improved preservation for the temples stores.;;;;;x
mxe_stone_granary_shed;Stone Granary Shed;;;;;x
mxe_stone_granary_shed_desc;A small granary made of rough stone, improving pest resistance and safeguarding religious tithes.;;;;;x
mxe_raised_granary;Raised Granary;;;;;x
mxe_raised_granary_desc;A wooden structure elevated on stone piers, protecting sacred grain from floods and vermin.;;;;;x
mxe_ventilated_storehouse;Ventilated Storehouse;;;;;x
mxe_ventilated_storehouse_desc;A sophisticated wooden and stone building with improved airflow and religious inscriptions, preserving grain and sanctifying the store.;;;;;x
mxe_large_grain_chamber;Large Grain Chamber;;;;;x
mxe_large_grain_chamber_desc;A substantial stone chamber, featuring decorated alcoves and guarded access, supporting religious festivals and temple feasts.;;;;;x
mxe_fortified_granary;Fortified Granary;;;;;x
mxe_fortified_granary_desc;A heavily-defended stone granary with reinforced doors and small garrison, protecting both spiritual and material wealth.;;;;;x
mxe_farmlands_grain_tower;Farmlands Grain Tower;;;;;x
mxe_farmlands_grain_tower_desc;A tall stone tower visible for miles, containing vast stores of grain and serving as a symbol of spiritual and agricultural prosperity.;;;;;x
mxe_farmlands_granary_complex;Farmlands Granary Complex;;;;;x
mxe_farmlands_granary_complex_desc;A sprawling, multi-structure granary complex, containing vaults, chapels, and learning chambers dedicated to agricultural and spiritual wisdom.;;;;;x
