#Code;English;French;German;Spanish;Russian;x
mxf_kindling_circle;Kindling Circle;;;;;x
mxf_kindling_circle_desc;A rudimentary gathering spot with stones arranged for fire, providing basic warmth and a focal point for communal vigilance.;;;;;x
mxf_fire_pit;Fire Pit;;;;;x
mxf_fire_pit_desc;A large sunken fire pit, ringed by rough timber, providing warmth, light, and a modest rallying point for defenders.;;;;;x
mxf_burning_mound;Burning Mound;;;;;x
mxf_burning_mound_desc;An elevated mound reinforced with packed earth and timber, topped with a great fire for both defense and morale.;;;;;x
mxf_charcoal_hearth;Charcoal Hearth;;;;;x
mxf_charcoal_hearth_desc;A broad, stone-lined hearth burning charcoal, allowing continuous fires for warmth, defense, and signaling. Its smoke is visible for miles.;;;;;x
mxf_ceremonial_bonfire;Ceremonial Bonfire;;;;;x
mxf_ceremonial_bonfire_desc;A grand bonfire with stone seating and a fortified perimeter, serving as a center for gatherings, morale, and mustering troops.;;;;;x
mxf_ember_altar;Ember Altar;;;;;x
mxf_ember_altar_desc;A fortified stone dais holding a perpetual fire, guarded and attended by chosen keepers, inspiring loyalty and vigilance.;;;;;x
mxf_flame_hearth;Flame Hearth;;;;;x
mxf_flame_hearth_desc;A massive, enclosed hearth of hewn stone, at the heart of the keep, radiating warmth and providing a place of assembly and defense coordination.;;;;;x
mxf_torch_ring;Torch Ring;;;;;x
mxf_torch_ring_desc;A grand ring of iron torches encircling the castles main yard, providing constant illumination and a formidable deterrent to intruders.;;;;;x
mxf_beacon_mound;Beacon Mound;;;;;x
mxf_beacon_mound_desc;A monumental, stone-reinforced mound with an immense beacon, visible for leagues, both rallying the populace and warning of danger.;;;;;x
mxf_everflame;Everflame;;;;;x
mxf_everflame_desc;A legendary, unceasing fire in a fortified tower, a symbol of enduring rule and sanctuary, greatly inspiring all who dwell within and all who serve.;;;;;x
