#Code;English;French;German;Spanish;Russian;x
nbb_open_courtyard_1;Open Courtyard;;;;;x
nbb_open_courtyard_1_desc;A simple, cleared space surrounded by rough earth and wooden posts, serving as a gathering place for prayers and meetings.;;;;;x
nbb_paved_walkway_2;Paved Walkway;;;;;x
nbb_paved_walkway_2_desc;Rough stones are laid to create a modest path, guiding pilgrims and monks across the courtyard.;;;;;x
nbb_shaded_cloister_walk_3;Shaded Cloister Walk;;;;;x
nbb_shaded_cloister_walk_3_desc;A covered wooden walkway lines the courtyard, providing shade and shelter for contemplation and study.;;;;;x
nbb_arched_cloister_4;Arched Cloister;;;;;x
nbb_arched_cloister_4_desc;Stone arches and columns enclose the courtyard, lending an air of solemnity and permanence to the monastic grounds.;;;;;x
nbb_cloister_gardens_6;Cloister Gardens;;;;;x
nbb_cloister_gardens_6_desc;Carefully tended gardens flourish within the cloister, providing herbs for healing and spaces for meditation.;;;;;x
nbb_central_fountain_5;Central Fountain;;;;;x
nbb_central_fountain_5_desc;A masterfully carved stone fountain is installed at the heart of the cloister, symbolizing purity and divine sustenance.;;;;;x
nbb_covered_walkways_7;Covered Walkways;;;;;x
nbb_covered_walkways_7_desc;Sturdy, vaulted walkways encircle the gardens, allowing uninterrupted passage for monks and pilgrims in all weather.;;;;;x
nbb_cloistered_quadrangle_8;Cloistered Quadrangle;;;;;x
nbb_cloistered_quadrangle_8_desc;The cloister expands into a grand quadrangle, with elegant colonnades and intricate stonework, serving as the spiritual and communal heart of the temple.;;;;;x
nbb_ornate_cloister_9;Ornate Cloister;;;;;x
nbb_ornate_cloister_9_desc;Lavishly decorated with carvings, murals, and religious iconography, the cloister draws pilgrims and scholars from afar.;;;;;x
nbb_grand_cloister_complex_10;Grand Cloister Complex;;;;;x
nbb_grand_cloister_complex_10_desc;A vast, awe-inspiring complex of cloisters, gardens, fountains, and libraries, radiating spiritual power and learning across the realm.;;;;;x
