#Code;English;French;German;Spanish;Russian;x
nhs_herb_patch;Herb Patch;;;;;x
nhs_herb_patch_desc;A small, rough plot where hardy herbs and wild greens are cultivated for practical use by the castles first settlers.;;;;;x
nhs_vegetable_plot;Vegetable Plot;;;;;x
nhs_vegetable_plot_desc;Simple rows of vegetables, tended by castle folk, yielding improved produce and modest support for the garrison.;;;;;x
nhs_fruit_orchard;Fruit Orchard;;;;;x
nhs_fruit_orchard_desc;Orchards of apples, pears, and plums bring increased bounty, improving local supplies and morale.;;;;;x
nhs_walled_garden;Walled Garden;;;;;x
nhs_walled_garden_desc;A secure, cultivated garden enclosed by stone walls, providing peace, security, and a mark of status.;;;;;x
nhs_decorative_garden;Decorative Garden;;;;;x
nhs_decorative_garden_desc;An elegant display of hedges and flowers, enhancing the prestige and dignity of the castle.;;;;;x
nhs_fountain_terrace;Fountain Terrace;;;;;x
nhs_fountain_terrace_desc;A stately terrace with flowing fountains and sculpted basins, a symbol of wealth and refined taste.;;;;;x
nhs_rose_garden;Rose Garden;;;;;x
nhs_rose_garden_desc;A lavish collection of rose beds and trellises, renowned throughout the realm, making the castle a place of beauty and romance.;;;;;x
nhs_maze_garden;Maze Garden;;;;;x
nhs_maze_garden_desc;A grand hedge maze, both a delight for guests and a subtle layer of defense for the inner keep.;;;;;x
nhs_pavilion_garden;Pavilion Garden;;;;;x
nhs_pavilion_garden_desc;Magnificent pavilions for feasts and gatherings, set amidst lush grounds, strengthening alliances and the lords prestige.;;;;;x
nhs_royal_courtyard;Royal Courtyard;;;;;x
nhs_royal_courtyard_desc;A regal courtyard of unrivaled grandeur, the heart of diplomatic, administrative, and ceremonial life for the castle and its realm.;;;;;x
