#Code;English;French;German;Spanish;Russian;x
nqf_timber_belfry;Timber Belfry;;;;;x
nqf_timber_belfry_desc;A simple wooden scaffolding, quickly erected by frontier monks to house a single bell and call the faithful to prayer.;;;;;x
nqf_stone_bell_platform;Stone Bell Platform;;;;;x
nqf_stone_bell_platform_desc;A sturdy stone base replaces the wooden frame, providing a more lasting structure for the temple bell and marking the settlements growing permanence.;;;;;x
nqf_double_bell_chamber;Double Bell Chamber;;;;;x
nqf_double_bell_chamber_desc;An expanded stone tower with two tuned bells, allowing for richer chimes that mark holy days and summon the faithful from greater distances.;;;;;x
nqf_single_bell_tower;Single Bell Tower;;;;;x
nqf_single_bell_tower_desc;A tall, narrow tower with a single bronze bell, visible from afar and symbolizing spiritual stability for the community.;;;;;x
nqf_reinforced_tower;Reinforced Tower;;;;;x
nqf_reinforced_tower_desc;Thickened walls and buttresses protect the bells and provide a defensible position for the clergy in times of upheaval.;;;;;x
nqf_clockwork_mechanism;Clockwork Mechanism;;;;;x
nqf_clockwork_mechanism_desc;Sophisticated clockwork machinery automates the ringing of bells for prayer, discipline, and timekeeping, inspiring awe in the devout and visitors alike.;;;;;x
nqf_triple_bell_array;Triple Bell Array;;;;;x
nqf_triple_bell_array_desc;A trio of harmonized bells, each rung in sequence by clockwork, resounds across the countryside, reinforcing the temples influence and prestige.;;;;;x
nqf_carillon_tower;Carillon Tower;;;;;x
nqf_carillon_tower_desc;A grand tower housing a full carillon, its music ringing out with intricate melodies for ceremonies, festivals, and royal visits.;;;;;x
nqf_cathedral_bell_tower;Cathedral Bell Tower;;;;;x
nqf_cathedral_bell_tower_desc;A monumental structure, visible for miles, whose complex bell system marks the most sacred moments in the realms spiritual life.;;;;;x
nqf_great_resonance_tower;Great Resonance Tower;;;;;x
nqf_great_resonance_tower_desc;The ultimate bell tower, its massive bells and ingenious mechanisms inspire awe, drawing pilgrims from across the land and making the temple a center of faith and power.;;;;;x
