#Code;English;French;German;Spanish;Russian;x
oam_hermits_hut;Hermits Hut;;;;;x
oam_hermits_hut_desc;A simple hut of wood and thatch, built for the first spiritual pioneers seeking solitude and prayer at the edge of the wilderness.;;;;;x
oam_simple_dormitory;Simple Dormitory;;;;;x
oam_simple_dormitory_desc;Rough, communal quarters built from timber, providing shelter for a handful of monks dedicated to the monastic life.;;;;;x
oam_monastic_cell;Monastic Cell;;;;;x
oam_monastic_cell_desc;Small, private cells built from stone and wood, offering solitude for monks to pray and study in greater comfort than before.;;;;;x
oam_communal_refectory;Communal Refectory;;;;;x
oam_communal_refectory_desc;A timber and plaster dining hall where monks gather for shared meals, strengthening both body and spirit.;;;;;x
oam_scriptorium_annex;Scriptorium Annex;;;;;x
oam_scriptorium_annex_desc;A modest extension for copying manuscripts and storing religious texts, fostering the spread of knowledge.;;;;;x
oam_enclosed_cloister;Enclosed Cloister;;;;;x
oam_enclosed_cloister_desc;A stone quadrangle enclosing a peaceful courtyard, providing security and tranquility for the monastic community.;;;;;x
oam_abbots_quarters;Abbots Quarters;;;;;x
oam_abbots_quarters_desc;Stately residential chambers for the abbot and visiting dignitaries, symbolizing the monasterys growing influence.;;;;;x
oam_expanded_dormitories;Expanded Dormitories;;;;;x
oam_expanded_dormitories_desc;Substantial, stone-built living quarters for a large monastic population, reflecting the monasterys prosperity.;;;;;x
oam_grand_refectory;Grand Refectory;;;;;x
oam_grand_refectory_desc;A vast, vaulted hall for communal feasts and gatherings, serving guests and the monastic order with grace and abundance.;;;;;x
oam_monastic_palace;Monastic Palace;;;;;x
oam_monastic_palace_desc;A grand, palatial complex with ornate chapels, libraries, and gardens, standing as a beacon of faith, wealth, and learning across the land.;;;;;x
