#Code;English;French;German;Spanish;Russian;x
ohm_wooden_idol_post;Wooden Idol Post;;;;;x
ohm_wooden_idol_post_desc;A simple wooden post inscribed with sacred runes, serving as the first focus of local worship, marking the grove as holy ground.;;;;;x
ohm_stone_idol;Stone Idol;;;;;x
ohm_stone_idol_desc;A weathered stone figure replaces the wooden post, lending the site greater permanence and attracting more followers to the grove.;;;;;x
ohm_idol_grove;Idol Grove;;;;;x
ohm_idol_grove_desc;The grove is cleared and organized, with paths and standing stones surrounding the idol, and gatherings for worship become regular.;;;;;x
ohm_decorated_idol_grove;Decorated Idol Grove;;;;;x
ohm_decorated_idol_grove_desc;The grove is adorned with carved totems, ritual banners, and sacred objects. Pilgrims journey here, drawn by tales of the spirit-haunted grove.;;;;;x
ohm_enclosed_idol_sanctuary;Enclosed Idol Sanctuary;;;;;x
ohm_enclosed_idol_sanctuary_desc;A wooden palisade or low stone wall now encloses the sacred grove, offering protection and a sense of sanctity to the faithful.;;;;;x
ohm_ornate_idol_sanctuary;Ornate Idol Sanctuary;;;;;x
ohm_ornate_idol_sanctuary_desc;A grand sanctuary of stone and wood now stands, richly carved and painted. Rituals, festivals, and the teaching of mysteries are held here.;;;;;x
ohm_idol_grove_hall;Idol Grove Hall;;;;;x
ohm_idol_grove_hall_desc;A great hall for feasts and councils is raised beside the sanctuary, drawing learned priests and wise men to instruct the faithful and preserve ancient lore.;;;;;x
ohm_grand_idol_grove;Grand Idol Grove;;;;;x
ohm_grand_idol_grove_desc;The sacred grove is now a renowned pilgrimage site, with processional ways, shrines, and a great circle of oaks. Its spiritual power is widely famed.;;;;;x
ohm_blessed_idol_grove;Blessed Idol Grove;;;;;x
ohm_blessed_idol_grove_desc;Priests and petitioners gather beneath the ancient trees, and the site is believed to be directly blessed by the gods. Great rituals are held year-round.;;;;;x
ohm_sanctified_idol_grove;Sanctified Idol Grove;;;;;x
ohm_sanctified_idol_grove_desc;The grove is made wholly sacred, with relics, holy springs, and the presence of a high priesthood. Its influence radiates across the land.;;;;;x
