#Code;English;French;German;Spanish;Russian;x
omr_wooden_chapter_room;Wooden Chapter Room;;;;;x
omr_wooden_chapter_room_desc;A humble timber structure, hastily constructed to serve the first brothers of the order as a place for prayer, council, and shelter in a wild land.;;;;;x
omr_stone_chapterhouse;Stone Chapterhouse;;;;;x
omr_stone_chapterhouse_desc;Replacing wood with stone, the brethren now boast sturdier walls, greater safety, and an air of permanence in their spiritual mission.;;;;;x
omr_enclosed_chapter_room;Enclosed Chapter Room;;;;;x
omr_enclosed_chapter_room_desc;Now surrounded by a proper courtyard and cloister walls, this building provides both security and serenity for monastic deliberations.;;;;;x
omr_decorated_chapter_hall;Decorated Chapter Hall;;;;;x
omr_decorated_chapter_hall_desc;Adorned with religious iconography and illuminated manuscripts, the hall inspires devotion and learning among its residents.;;;;;x
omr_chapterhouse_library;Chapterhouse Library;;;;;x
omr_chapterhouse_library_desc;A dedicated scriptorium and library, filled with holy texts and scholarly treatises, attracting learned clerics and pilgrims alike.;;;;;x
omr_chapterhouse_chapel;Chapterhouse Chapel;;;;;x
omr_chapterhouse_chapel_desc;A beautiful chapel stands beside the hall, drawing the faithful to prayer and greatly strengthening the chapters spiritual influence.;;;;;x
omr_chapterhouse_vault;Chapterhouse Vault;;;;;x
omr_chapterhouse_vault_desc;A secure underground vault protects relics and treasures, increasing the chapter’s wealth and the local clergy’s loyalty.;;;;;x
omr_ornate_chapterhouse;Ornate Chapterhouse;;;;;x
omr_ornate_chapterhouse_desc;Lavishly decorated with stained glass, marble, and precious metals, the chapterhouse becomes a celebrated center of faith, art, and learning.;;;;;x
omr_grand_chapterhouse;Grand Chapterhouse;;;;;x
omr_grand_chapterhouse_desc;This vast complex houses hundreds of devout, supporting extensive religious, scholarly, and administrative work across the region.;;;;;x
omr_cathedral_chapterhouse;Cathedral Chapterhouse;;;;;x
omr_cathedral_chapterhouse_desc;A magnificent cathedral rises above the chapterhouse, a beacon of faith and seat of spiritual authority, attracting pilgrims from across Christendom.;;;;;x
