#Code;English;French;German;Spanish;Russian;x
oro_parish_hall;Parish Hall;;;;;x
oro_parish_hall_desc;A simple wooden gathering place, hastily built for meetings and local administration.;;;;;x
oro_stone_refectory;Stone Refectory;;;;;x
oro_stone_refectory_desc;A basic stone structure providing secure storage and a communal dining area for retainers.;;;;;x
oro_chapter_house;Chapter House;;;;;x
oro_chapter_house_desc;A fortified hall for councils and court, with improved facilities for storing records and supplies.;;;;;x
oro_pilgrim_hostel;Pilgrim Hostel;;;;;x
oro_pilgrim_hostel_desc;A large stone hostel supporting travelers and guests, with sturdy walls and expanded storage.;;;;;x
oro_canons_hall;Canons' Hall;;;;;x
oro_canons_hall_desc;A fortified gathering hall for nobles, justiciars, and the local council, with courtly apartments and record-keeping offices.;;;;;x
oro_priory_hall;Priory Hall;;;;;x
oro_priory_hall_desc;A grand hall for administration and feasting, with thick walls and ample space for retainers and events.;;;;;x
oro_collegiate_hall;Collegiate Hall;;;;;x
oro_collegiate_hall_desc;A magnificent stone palace with great halls, administrative chambers, and quarters for visiting nobles and dignitaries.;;;;;x
oro_abbey_hall;Abbey Hall;;;;;x
oro_abbey_hall_desc;A stately stone complex with grand chambers, extensive archives, and secure storage for valuables and arms.;;;;;x
oro_bishops_court;Bishops Court;;;;;x
oro_bishops_court_desc;A splendid administrative center and ceremonial hall for high feudal lords, featuring elite security, archives, and guest apartments.;;;;;x
oro_cathedral_hall;Cathedral Hall;;;;;x
oro_cathedral_hall_desc;The ultimate feudal hall: a mighty stronghold and palace for high kings, with legendary chambers, council rooms, and a symbol of enduring authority.;;;;;x
