#Code;English;French;German;Spanish;Russian;x
pvd_castle_scriptorium_1;Scriptorium;;;;;x
pvd_castle_scriptorium_1_desc;A humble tent with rough benches and wax tablets, where rudimentary records are copied and guarded by the lords steward.;;;;;x
pvd_castle_book_alcove_2;Book Alcove;;;;;x
pvd_castle_book_alcove_2_desc;A wooden lean-to with a locked chest, holding a handful of precious scrolls and books, offering a quiet space for study.;;;;;x
pvd_castle_manuscript_room_3;Manuscript Room;;;;;x
pvd_castle_manuscript_room_3_desc;A sturdy timber room within the keep, containing several locked cupboards of manuscripts and a bench for local scribes.;;;;;x
pvd_castle_scriptorium_library_4;Scriptorium Library;;;;;x
pvd_castle_scriptorium_library_4_desc;A robust stone chamber with reinforced doors, holding shelves of manuscripts and a small team of scribes at work.;;;;;x
pvd_castle_cleric_archive_5;Cleric Archive;;;;;x
pvd_castle_cleric_archive_5_desc;A fortified chamber beneath the keep, with fireproof chests and clerks maintaining the lords archives and feudal records.;;;;;x
pvd_castle_scholars_library_6;Scholars Library;;;;;x
pvd_castle_scholars_library_6_desc;A grand hall lined with bookshelves, reading desks, and a scriptorium for visiting scholars, fostering learning and administration.;;;;;x
pvd_castle_illuminators_hall_7;Illuminators' Hall;;;;;x
pvd_castle_illuminators_hall_7_desc;A lavishly decorated hall employing skilled illuminators, producing ornate charters and attracting renowned minds.;;;;;x
pvd_castle_monastic_library_8;Monastic Library;;;;;x
pvd_castle_monastic_library_8_desc;A fortified annex staffed by scholarly brothers, housing rare tomes and providing a hub for administration and record-keeping.;;;;;x
pvd_castle_cathedral_archive_9;Cathedral Archive;;;;;x
pvd_castle_cathedral_archive_9_desc;A grand stone vault adjoining the castle, with iron-bound doors and a staff of learned archivists, preserving knowledge for generations.;;;;;x
pvd_castle_royal_library_10;Royal Library;;;;;x
pvd_castle_royal_library_10_desc;A legendary institution within the castle, richly endowed and known throughout the realm, where scholars, scribes, and lords gather to shape the kingdoms destiny.;;;;;x
