#Code;English;French;German;Spanish;Russian;x
pvy_sand_pit_well;Sand Pit Well;;;;;x
pvy_sand_pit_well_desc;A simple, hand-dug pit in the sand, providing the most basic access to groundwater for the faithful.;;;;;x
pvy_stone_lined_well;Stone Lined Well;;;;;x
pvy_stone_lined_well_desc;A more permanent well, reinforced with stone lining, protecting water from collapse and contamination.;;;;;x
pvy_covered_well;Covered Well;;;;;x
pvy_covered_well_desc;A well protected by a wooden cover and partial shelter, keeping the water clean and sacred.;;;;;x
pvy_draw_well;Draw Well;;;;;x
pvy_draw_well_desc;A sophisticated well with a pulley and bucket system, enabling easier access to the life-giving waters for monks and travelers.;;;;;x
pvy_oasis_enclosure;Oasis Enclosure;;;;;x
pvy_oasis_enclosure_desc;A fortified enclosure built around the well, offering protection for pilgrims and securing the sacred waters.;;;;;x
pvy_deep_shaft_well;Deep Shaft Well;;;;;x
pvy_deep_shaft_well_desc;A masterfully dug deep shaft well, reaching pure underground water and symbolizing the depth of faith.;;;;;x
pvy_desert_cistern;Desert Cistern;;;;;x
pvy_desert_cistern_desc;A vast underground cistern, storing water for dry seasons and allowing for greater gatherings and spiritual study.;;;;;x
pvy_walled_water_source;Walled Water Source;;;;;x
pvy_walled_water_source_desc;Massive stone walls encircle the well, transforming it into a shrine and safe haven for the devout.;;;;;x
pvy_shaded_wellhouse;Shaded Wellhouse;;;;;x
pvy_shaded_wellhouse_desc;A large, domed structure built over the well and cistern, providing shelter for worshippers and attracting desert scholars.;;;;;x
pvy_desert_water_sanctuary;Desert Water Sanctuary;;;;;x
pvy_desert_water_sanctuary_desc;A grand sanctuary enclosing the sacred well, with marble colonnades, gardens, and space for great religious councils. A marvel of faith and desert survival.;;;;;x
