#Code;English;French;German;Spanish;Russian;x
qjl_muslim_souk_street_vendor_row;Street Vendor Row;;;;;x
qjl_muslim_souk_street_vendor_row_desc;A ragged line of makeshift stalls and tents, offering basic goods to travelers and settlers.;;;;;x
qjl_muslim_souk_market_courtyard;Market Courtyard;;;;;x
qjl_muslim_souk_market_courtyard_desc;A central open yard surrounded by sturdier wooden stalls, drawing greater crowds and commerce.;;;;;x
qjl_muslim_souk_covered_alley;Covered Alley;;;;;x
qjl_muslim_souk_covered_alley_desc;Wooden awnings and a simple roof offer protection from sun and rain, attracting more merchants.;;;;;x
qjl_muslim_souk_spice_hall;Spice Hall;;;;;x
qjl_muslim_souk_spice_hall_desc;A dedicated, roofed market for rare and valuable spices, attracting traders from afar.;;;;;x
qjl_muslim_souk_artisans_passage;Artisans Passage;;;;;x
qjl_muslim_souk_artisans_passage_desc;A bustling row of workshops for skilled craftspeople, protected by stone archways.;;;;;x
qjl_muslim_souk_goldsmiths_lane;Goldsmiths Lane;;;;;x
qjl_muslim_souk_goldsmiths_lane_desc;A secure, walled street for the citys goldsmiths and jewelers, tightly guarded and bustling with trade.;;;;;x
qjl_muslim_souk_silk_bazar;Silk Bazar;;;;;x
qjl_muslim_souk_silk_bazar_desc;An ornate hall for the silk trade, with vaulted ceilings and skilled guards, serving merchants from distant lands.;;;;;x
qjl_muslim_souk_textile_row;Textile Row;;;;;x
qjl_muslim_souk_textile_row_desc;A broad avenue lined with textile merchants and weavers, protected by city guards and open to caravans.;;;;;x
qjl_muslim_souk_souk_pavilion;Souk Pavilion;;;;;x
qjl_muslim_souk_souk_pavilion_desc;A grand market pavilion of stone and mosaic, its shaded arcades thronging with merchants and officials.;;;;;x
qjl_muslim_souk_grand_souk;Grand Souk;;;;;x
qjl_muslim_souk_grand_souk_desc;A legendary center of commerce, with fortified gates, marble halls, and a labyrinth of shops, attracting traders from across the world.;;;;;x
