#Code;English;French;German;Spanish;Russian;x
qkw_quarry_camp;Quarry Camp;;;;;x
qkw_quarry_camp_desc;A makeshift camp of tents and simple tools, where laborers break stone from the earth for basic city works.;;;;;x
qkw_stonecutters_shed;Stonecutters Shed;;;;;x
qkw_stonecutters_shed_desc;A rough wooden shelter providing workspace for early stonecutters, increasing the flow and shaping of building stones.;;;;;x
qkw_masons_lodge;Masons Lodge;;;;;x
qkw_masons_lodge_desc;A sturdy timber lodge with basic masonry tools, where workers gather for training and coordination of stone projects.;;;;;x
qkw_stone_storehouse;Stone Storehouse;;;;;x
qkw_stone_storehouse_desc;A robust stone and timber warehouse, ensuring steady supplies of quarried material and improved construction logistics.;;;;;x
qkw_chiselers_workshop;Chiselers Workshop;;;;;x
qkw_chiselers_workshop_desc;A dedicated stone workshop with advanced tools, enabling skilled craftsmen to refine blocks for city defenses and trade.;;;;;x
qkw_masonry_guild;Masonry Guild;;;;;x
qkw_masonry_guild_desc;An organized guild hall for masons, overseeing large civic projects and elevating city prestige through fine stonework.;;;;;x
qkw_stone_vaults;Stone Vaults;;;;;x
qkw_stone_vaults_desc;Subterranean stone vaults for secure storage, improving urban defense and economic stability.;;;;;x
qkw_ashlar_works;Ashlar Works;;;;;x
qkw_ashlar_works_desc;A sophisticated stoneworks for the production of high-quality ashlar masonry, enabling grander civic and defensive architecture.;;;;;x
qkw_stonemasons_hall;Stonemasons Hall;;;;;x
qkw_stonemasons_hall_desc;A prominent hall where master masons gather to train apprentices, coordinate city works, and shape urban policy.;;;;;x
qkw_master_masonry_complex;Master Masonry Complex;;;;;x
qkw_master_masonry_complex_desc;A vast complex of guildhalls, workshops, and stoneworks. Here, the citys most skilled masons craft lasting monuments and fortifications, ensuring economic dominance and unrivaled urban defense.;;;;;x
