#Code;English;French;German;Spanish;Russian;x
qrk_moot_line_1;Moot Grounds I;;;;;x
qrk_moot_line_1_desc;The first stage of the moot grounds, a simple open space for gatherings and local decisions.;;;;;x
qrk_moot_line_2;Moot Grounds II;;;;;x
qrk_moot_line_2_desc;The moot grounds are improved with benches and a raised platform for speakers.;;;;;x
qrk_moot_line_3;Moot Grounds III;;;;;x
qrk_moot_line_3_desc;A permanent structure is added, allowing for larger gatherings and more formal proceedings.;;;;;x
qrk_moot_line_4;Moot Grounds IV;;;;;x
qrk_moot_line_4_desc;The moot grounds now include a council ring and facilities for trade and feasts.;;;;;x
qrk_moot_line_5;Moot Grounds V;;;;;x
qrk_moot_line_5_desc;A prestigious moot site, drawing visitors from afar and hosting major city events.;;;;;x
qrk_moot_line_6;Moot Grounds VI;;;;;x
qrk_moot_line_6_desc;The moot grounds are further expanded, with new buildings and improved infrastructure.;;;;;x
qrk_moot_line_7;Moot Grounds VII;;;;;x
qrk_moot_line_7_desc;A grand moot site, with stonework and banners, symbolizing the citys unity and strength.;;;;;x
qrk_moot_line_8;Moot Grounds VIII;;;;;x
qrk_moot_line_8_desc;The moot grounds reach their peak, hosting the largest gatherings and most important decisions.;;;;;x
qrk_moot_line_9;Moot Grounds IX;;;;;x
qrk_moot_line_9_desc;A legendary moot site, known across the land for its history and influence.;;;;;x
qrk_moot_line_10;Moot Grounds X;;;;;x
qrk_moot_line_10_desc;The ultimate moot grounds, a symbol of civic pride and the heart of the citys governance.;;;;;x
