#Code;English;French;German;Spanish;Russian;x
qsm_sacred_clearing_1;Sacred Clearing;;;;;x
qsm_sacred_clearing_1_desc;A simple, open clearing in the woods, marked by stones and firepits, where the folk gather for council and defense.;;;;;x
qsm_stones_circle_2;Stones Circle;;;;;x
qsm_stones_circle_2_desc;Stones raised in a circle mark the gathering place, offering a stronger sense of unity and simple defense.;;;;;x
qsm_wooden_gathering_hall_3;Wooden Gathering Hall;;;;;x
qsm_wooden_gathering_hall_3_desc;A timber hall is erected at the heart of the circle, sheltering leaders and warriors during times of need.;;;;;x
qsm_totem_yard_4;Totem Yard;;;;;x
qsm_totem_yard_4_desc;Tall wooden totems ring the hall, intimidating foes and rallying clansfolk to arms.;;;;;x
qsm_feast_hall_5;Feast Hall;;;;;x
qsm_feast_hall_5_desc;A great hall for feasting and ceremony strengthens bonds and discipline among the folk.;;;;;x
qsm_ringfort_hall_6;Ringfort Hall;;;;;x
qsm_ringfort_hall_6_desc;A timber-and-earth ringfort rises around the hall, offering serious fortification and protection for all within.;;;;;x
qsm_chieftains_lodge_7;Chieftains Lodge;;;;;x
qsm_chieftains_lodge_7_desc;A sturdy, lavish lodge for the chieftain and their advisors, inspiring loyalty and martial spirit among the people.;;;;;x
qsm_council_hall_8;Council Hall;;;;;x
qsm_council_hall_8_desc;A grand hall with space for all elders and warriors to gather, organize, and make decisions for the clans future.;;;;;x
qsm_ancestor_hall_9;Ancestor Hall;;;;;x
qsm_ancestor_hall_9_desc;An imposing stone and timber hall, adorned with clan totems and ancestral relics, instilling awe and discipline.;;;;;x
qsm_great_moot_hall_10;Great Moot Hall;;;;;x
qsm_great_moot_hall_10_desc;The ultimate seat of pagan assembly: stone-walled, bannered, and awe-inspiring, it is the very heart of the realms defense and unity.;;;;;x
