#Code;English;French;German;Spanish;Russian;x
qxq_castle_jungle_cleared_camp;Cleared Camp;;;;;x
qxq_castle_jungle_cleared_camp_desc;A patch of jungle cleared for basic encampment, with earthworks and makeshift shelters for early defenders.;;;;;x
qxq_castle_jungle_lookout;Jungle Lookout;;;;;x
qxq_castle_jungle_lookout_desc;Raised wooden platforms among the trees, manned by scouts to give warning of approaching threats.;;;;;x
qxq_castle_jungle_bamboo_palisade;Bamboo Palisade;;;;;x
qxq_castle_jungle_bamboo_palisade_desc;A defensive wall constructed from tightly lashed bamboo, forming the first true barrier against intrusion.;;;;;x
qxq_castle_jungle_stilted_hut;Stilted Hut;;;;;x
qxq_castle_jungle_stilted_hut_desc;Permanent wooden dwellings on stilts for officers and key garrison, resistant to floods and wildlife.;;;;;x
qxq_castle_jungle_cleared_outpost;Cleared Outpost;;;;;x
qxq_castle_jungle_cleared_outpost_desc;A larger, multi-structure outpost with barracks and armories, serving as a command center for jungle defenses.;;;;;x
qxq_castle_jungle_raised_walkway;Raised Walkway;;;;;x
qxq_castle_jungle_raised_walkway_desc;Elevated wooden walkways connect key defensive positions, improving garrison mobility and defense.;;;;;x
qxq_castle_jungle_stockade;Jungle Stockade;;;;;x
qxq_castle_jungle_stockade_desc;A fortified stockade with doubled bamboo walls and reinforced gates, providing a formidable barrier in the wilderness.;;;;;x
qxq_castle_jungle_redoubt;Jungle Redoubt;;;;;x
qxq_castle_jungle_redoubt_desc;A heavily fortified redoubt with stone and timber, built to withstand sieges and anchor the defense of the region.;;;;;x
qxq_castle_jungle_moated_compound;Moated Compound;;;;;x
qxq_castle_jungle_moated_compound_desc;A fortified compound surrounded by a deep water-filled moat, integrating stone towers for archers and imposing gatehouses.;;;;;x
qxq_castle_jungle_rainforest_fortress;Rainforest Fortress;;;;;x
qxq_castle_jungle_rainforest_fortress_desc;A grand fortress of stone and timber, dominating the jungle with multiple defensive layers, towers, and command facilities, ensuring complete control over the wild terrain.;;;;;x
