Code;English;French;German;Spanish;Russian;x
ct_rep_arsenal_1;Harbor Storehouse;;;;;x
ct_rep_arsenal_1_desc;A fortified warehouse by the docks where basic weapons and supplies are stored to support early naval ventures.;;;;;x
ct_rep_arsenal_2;Coastal Armory;;;;;x
ct_rep_arsenal_2_desc;Improved defenses and dedicated armaments begin to shape a stable production base for a seafaring republic.;;;;;x
ct_rep_arsenal_3;Republican Arsenal;;;;;x
ct_rep_arsenal_3_desc;A large complex with trained personnel and ship-ready equipment to supply both land forces and galleys.;;;;;x
ct_rep_arsenal_4;Maritime Foundry;;;;;x
ct_rep_arsenal_4_desc;Blacksmiths, engineers, and naval officers coordinate in an integrated facility boosting military readiness.;;;;;x
ct_rep_arsenal_5;Dockside Bastion;;;;;x
ct_rep_arsenal_5_desc;The arsenal now doubles as a fortified base, providing defense and logistics for extensive naval operations.;;;;;x
ct_rep_arsenal_6;Grand Maritime Arsenal;;;;;x
ct_rep_arsenal_6_desc;A prestigious center of naval production and training, echoing the might of the greatest sea powers.;;;;;x
ct_rep_arsenal_7;Senatorial Shipyards;;;;;x
ct_rep_arsenal_7_desc;Senate-backed warship construction flourishes, with elite troops housed in garrison and constant readiness.;;;;;x
ct_rep_arsenal_8;Arsenal of the Republic;;;;;x
ct_rep_arsenal_8_desc;This towering complex defines the republic's might, producing fleets, gear, and doctrine with unmatched precision.;;;;;x
ct_rep_arsenal_9;Fleet Founders' Hall;;;;;x
ct_rep_arsenal_9_desc;Veteran captains and master craftsmen assemble to direct all aspects of naval development and military projection.;;;;;x
ct_rep_arsenal_10;Citadel Dockyards;;;;;x
ct_rep_arsenal_10_desc;The republic’s naval jewel, a fortified dockyard of legendary capacity that anchors trade, war, and glory.;;;;;x
