#Code;English;French;German;Spanish;Russian;x
rgd_rock_shelter;Rock Shelter;;;;;x
rgd_rock_shelter_desc;A crude refuge beneath a natural overhang, providing the barest protection for pioneers braving mountain wilds.;;;;;x
rgd_cliff_hut;Cliff Hut;;;;;x
rgd_cliff_hut_desc;A sturdy wooden hut built into the cliffside, offering basic shelter and a vantage point over treacherous passes.;;;;;x
rgd_stone_cabin;Stone Cabin;;;;;x
rgd_stone_cabin_desc;A small, defensive stone dwelling, built to withstand mountain storms and opportunistic raiders.;;;;;x
rgd_terraced_outpost;Terraced Outpost;;;;;x
rgd_terraced_outpost_desc;A defensive outpost with terraced stone works, providing basic watchtowers and a small holding garrison.;;;;;x
rgd_mountain_wall;Mountain Wall;;;;;x
rgd_mountain_wall_desc;A formidable curtain wall of stone, spanning ridges and sealing vulnerable approaches.;;;;;x
rgd_crag_fort;Crag Fort;;;;;x
rgd_crag_fort_desc;A strong fortification clinging to the crags, with reinforced gates and barracks for defenders.;;;;;x
rgd_peak_tower;Peak Tower;;;;;x
rgd_peak_tower_desc;A soaring stone tower atop the summit, commanding the valleys below and housing elite sentinels.;;;;;x
rgd_citadel_perch;Citadel Perch;;;;;x
rgd_citadel_perch_desc;An imposing citadel perched atop the highest ridge, seat of mountain lords and symbol of unyielding dominion.;;;;;x
rgd_mountain_bastion;Mountain Bastion;;;;;x
rgd_mountain_bastion_desc;A massive mountain redoubt, with layered defenses, deep cisterns, and arsenals for prolonged sieges.;;;;;x
rgd_eyrie_fortress;Eyrie Fortress;;;;;x
rgd_eyrie_fortress_desc;The ultimate mountain fortress, unreachable but for the bravest, with awe-inspiring views and legendary defenses.;;;;;x
