#Code;English;French;German;Spanish;Russian;x
rum_canvas_shelter;Canvas Shelter;;;;;x
rum_canvas_shelter_desc;Rough tents and makeshift awnings, providing the barest shelter from desert winds and sun.;;;;;x
rum_mudbrick_hut;Mudbrick Hut;;;;;x
rum_mudbrick_hut_desc;Simple, sun-baked mudbrick dwellings and storage pits offer basic protection against sand and heat.;;;;;x
rum_windbreak_wall;Windbreak Wall;;;;;x
rum_windbreak_wall_desc;Low mudbrick walls and windbreaks shield dwellings from blowing sand, making life more tolerable and defensible.;;;;;x
rum_well_house;Well House;;;;;x
rum_well_house_desc;A guarded well and water storage system, vital for survival and sustaining larger garrisons on the frontier.;;;;;x
rum_stone_shelter;Stone Shelter;;;;;x
rum_stone_shelter_desc;A rudimentary stone barracks and ramparts, providing a stronghold for desert patrols and a base for further expansion.;;;;;x
rum_shaded_compound;Shaded Compound;;;;;x
rum_shaded_compound_desc;A perimeter of walls and shade structures, supporting a small permanent garrison and improved living conditions.;;;;;x
rum_sandstone_outpost;Sandstone Outpost;;;;;x
rum_sandstone_outpost_desc;A substantial outpost with sandstone towers, watch platforms, and reinforced walls to command vast desert approaches.;;;;;x
rum_fortified_camp;Fortified Camp;;;;;x
rum_fortified_camp_desc;A walled camp with reinforced gates, barracks, and archery platforms, supporting a sizable, disciplined garrison.;;;;;x
rum_oasis_compound;Oasis Compound;;;;;x
rum_oasis_compound_desc;A large, self-sustaining stronghold, with high walls, bastions, and dedicated quarters for retainers and knights, clustered around a life-giving oasis.;;;;;x
rum_desert_fortress;Desert Fortress;;;;;x
rum_desert_fortress_desc;A grand citadel of stone, with towering walls, multiple gates, and advanced defenses, able to anchor rule over the harsh desert and command vital trade routes.;;;;;x
