#Code;English;French;German;Spanish;Russian;x
ct_training_grounds_2;Archery Range;;;;;x
ct_training_grounds_2_desc;Makeshift straw targets and wooden posts allow townsfolk to hone their archery skills, providing basic urban defense and hunting practice.;;;;;x
ct_training_grounds_3;Barracks;;;;;x
ct_training_grounds_3_desc;The first permanent timber structure for city guards and militia, providing bunks and a small armory for better organization.;;;;;x
ct_training_grounds_1;Drill Yard;;;;;x
ct_training_grounds_1_desc;A rough open space with dirt boundaries where new arrivals practice basic drills and formations under simple supervision.;;;;;x
ct_training_grounds_4;Parade Ground;;;;;x
ct_training_grounds_4_desc;A leveled, fenced field for regular drills, musters, and displays, enhancing the discipline and morale of the citys defenders.;;;;;x
ct_training_grounds_5;Watch House;;;;;x
ct_training_grounds_5_desc;A sturdy stone building for the city watch, featuring a lookout tower and secure holding cells to keep order and deter crime.;;;;;x
ct_training_grounds_6;Weapons Depot;;;;;x
ct_training_grounds_6_desc;A large, secure warehouse for storing arms, crossbows, and armor, enabling faster arming of militia and improving city defense.;;;;;x
seo_veterans_quarters_7;Veterans' Quarters;;;;;x
seo_veterans_quarters_7_desc;Comfortable barracks for seasoned soldiers, encouraging them to train new recruits and bolster the citys military expertise.;;;;;x
seo_command_hall_8;Command Hall;;;;;x
seo_command_hall_8_desc;An imposing hall where officers and commanders coordinate city defense, manage rosters, and plan strategic responses to threats.;;;;;x
seo_garrison_complex_9;Garrison Complex;;;;;x
seo_garrison_complex_9_desc;A sprawling fortified compound with multiple barracks, supply buildings, and an inner keep for the citys militia and watch.;;;;;x
seo_war_academy_10;War Academy;;;;;x
seo_war_academy_10_desc;A prestigious institution for training officers, strategists, and militia captains, renowned throughout the realm for its military instruction.;;;;;x
