#Code;English;French;German;Spanish;Russian;x
sod_stone_strongbox;Stone Strongbox;;;;;x
sod_stone_strongbox_desc;A crude stone coffer, hastily assembled and hidden beneath the altar, offers basic protection for holy offerings and relics.;;;;;x
sod_guarded_chest_room;Guarded Chest Room;;;;;x
sod_guarded_chest_room_desc;A small chamber off the sanctuary, watched by a trusted monk, holds the temples growing collection of valuables.;;;;;x
sod_small_treasury;Small Treasury;;;;;x
sod_small_treasury_desc;A modest, iron-banded chamber with a sturdy wooden door, providing improved security for tithes and sacred relics.;;;;;x
sod_treasury_vault;Treasury Vault;;;;;x
sod_treasury_vault_desc;A stone-vaulted room, protected by heavy doors and trusted guards, allows for the safe storage of the temples tithe and holy gold.;;;;;x
sod_ironbound_vault;Ironbound Vault;;;;;x
sod_ironbound_vault_desc;Thick stonework, iron bands, and complex locks protect this vault, which now holds relics, gold, and important temple documents.;;;;;x
sod_fortified_treasury;Fortified Treasury;;;;;x
sod_fortified_treasury_desc;A heavily fortified complex, with multiple guards and stonework, protects the congregations wealth and sacred relics from theft and war.;;;;;x
sod_treasure_gallery;Treasure Gallery;;;;;x
sod_treasure_gallery_desc;A grand hall lined with holy relics, gold, and artifacts, the gallery is a symbol of spiritual prosperity, attracting pilgrims and scholars alike.;;;;;x
sod_golden_treasury;Golden Treasury;;;;;x
sod_golden_treasury_desc;Walls inlaid with gold leaf and locked behind intricate mechanisms, the Golden Treasury is a marvel of craftsmanship and a beacon for the faithful.;;;;;x
sod_royal_treasury;Royal Treasury;;;;;x
sod_royal_treasury_desc;Accessible only to the highest clergy and royalty, this treasury is protected by enchanted locks and the most devout guardians.;;;;;x
sod_sanctified_treasury;Sanctified Treasury;;;;;x
sod_sanctified_treasury_desc;A treasury blessed by the highest order, protected by sacred rites and holy guardians, inspiring awe and reverence throughout the realm.;;;;;x
