#Code;English;French;German;Spanish;Russian;x
tkp_stone_ring;Stone Ring;;;;;x
tkp_stone_ring_desc;A simple circle of upright stones, marking a sacred place for gatherings and rituals. Primitive but revered by local worshippers.;;;;;x
tkp_wooden_circle;Wooden Circle;;;;;x
tkp_wooden_circle_desc;A ring of stout timber posts, offering a more defined space for worship and ceremonies. Humble, but a step forward in spiritual organization.;;;;;x
tkp_enclosed_stone_circle;Enclosed Stone Circle;;;;;x
tkp_enclosed_stone_circle_desc;A stone ring reinforced with earthworks and wooden palisades, offering protection for worshippers and the sanctity of ritual space.;;;;;x
tkp_sacred_fire_ring;Sacred Fire Ring;;;;;x
tkp_sacred_fire_ring_desc;Within the stone circle, a permanent fire altar is established and maintained by devoted keepers, symbolizing divine presence and protection.;;;;;x
tkp_decorated_circle;Decorated Circle;;;;;x
tkp_decorated_circle_desc;The sacred ring is adorned with carvings, banners, and ritual objects. Pilgrims travel from afar, enriching the temple and its influence.;;;;;x
tkp_sanctuary_circle;Sanctuary Circle;;;;;x
tkp_sanctuary_circle_desc;A fortified sanctuary is constructed within the circle, providing shelter for priests and pilgrims and enhancing the sites spiritual authority.;;;;;x
tkp_blessed_circle;Blessed Circle;;;;;x
tkp_blessed_circle_desc;The circle is consecrated through grand rites, drawing the faithful and increasing the sites renown and spiritual energy.;;;;;x
tkp_grand_sacred_circle;Grand Sacred Circle;;;;;x
tkp_grand_sacred_circle_desc;A vast expansion, the Grand Sacred Circle is renowned throughout the land, attracting scholars, priests, and pilgrims to its hallowed grounds.;;;;;x
tkp_ornate_sacred_circle;Ornate Sacred Circle;;;;;x
tkp_ornate_sacred_circle_desc;The sacred site is transformed with intricate stonework, golden icons, and relics, radiating spiritual and temporal power.;;;;;x
tkp_sanctified_sacred_circle;Sanctified Sacred Circle;;;;;x
tkp_sanctified_sacred_circle_desc;The site is fully sanctified, surrounded by halls of learning, shrines, and libraries. Its spiritual authority is unmatched; a beacon for the faithful.;;;;;x
