#Code;English;French;German;Spanish;Russian;x
tth_artisan_workshop_1;Artisan Workshop I;;;;;x
tth_artisan_workshop_1_desc;A basic artisan workshop, providing modest economic benefits.;;;;;x
tth_artisan_workshop_2;Artisan Workshop II;;;;;x
tth_artisan_workshop_2_desc;An improved workshop, increasing local trade and tax.;;;;;x
tth_artisan_workshop_3;Artisan Workshop III;;;;;x
tth_artisan_workshop_3_desc;A larger workshop, further boosting city prosperity.;;;;;x
tth_artisan_workshop_4;Artisan Workshop IV;;;;;x
tth_artisan_workshop_4_desc;A well-established artisan center, attracting more craftsmen.;;;;;x
tth_artisan_workshop_5;Artisan Workshop V;;;;;x
tth_artisan_workshop_5_desc;A renowned workshop, known for quality goods and trade.;;;;;x
tth_artisan_workshop_6;Artisan Workshop VI;;;;;x
tth_artisan_workshop_6_desc;A major artisan hub, supporting city growth and wealth.;;;;;x
tth_artisan_workshop_7;Artisan Workshop VII;;;;;x
tth_artisan_workshop_7_desc;A prestigious workshop, drawing skilled artisans from afar.;;;;;x
tth_artisan_workshop_8;Artisan Workshop VIII;;;;;x
tth_artisan_workshop_8_desc;A thriving center of craftsmanship and commerce.;;;;;x
tth_artisan_workshop_9;Artisan Workshop IX;;;;;x
tth_artisan_workshop_9_desc;A famous workshop, exporting goods across the realm.;;;;;x
tth_artisan_workshop_10;Artisan Workshop X;;;;;x
tth_artisan_workshop_10_desc;The pinnacle of artisan achievement, symbolizing city prosperity.;;;;;x
