#Code;English;French;German;Spanish;Russian;x
tws_plains_field_plot;Field Plot;;;;;x
tws_plains_field_plot_desc;A patchwork of staked-out earth, marking the first attempts to till the open plains. Provides basic sustenance and a foundation for further development.;;;;;x
tws_plains_plow_furrow;Plow Furrow;;;;;x
tws_plains_plow_furrow_desc;Simple wooden plows and hand-dug furrows increase the efficiency of the fields, bringing modest improvement to local harvests and tax yields.;;;;;x
tws_plains_hay_barn;Hay Barn;;;;;x
tws_plains_hay_barn_desc;A simple timber barn for storing hay and fodder, reducing losses and increasing food security. More reliable harvests mean more stable income for the city.;;;;;x
tws_plains_shepherds_hut;Shepherds Hut;;;;;x
tws_plains_shepherds_hut_desc;A cluster of simple dwellings for shepherds and their flocks, fostering agricultural settlement and supporting the rural workforce. Livestock and wool trade increase city revenues.;;;;;x
tws_plains_threshing_floor;Threshing Floor;;;;;x
tws_plains_threshing_floor_desc;A dedicated area for threshing and winnowing, improving grain processing and storage. This organized approach increases both food surplus and trade.;;;;;x
tws_plains_irrigation_channel;Irrigation Channel;;;;;x
tws_plains_irrigation_channel_desc;Complex networks of irrigation ditches and channels harness seasonal floods, expanding cultivation and protecting against drought. The bounty of the plains feeds the city.;;;;;x
tws_plains_mill;Plains Mill;;;;;x
tws_plains_mill_desc;A large windmill or watermill serves the community, grinding grain efficiently and supporting a bustling local market. The mill attracts commerce and increases city prosperity.;;;;;x
tws_plains_crop_rotation_yards;Crop Rotation Yards;;;;;x
tws_plains_crop_rotation_yards_desc;Advanced agricultural practices and managed yards allow for crop rotation, maintaining soil fertility and boosting yields for generations.;;;;;x
tws_plains_harvest_granary;Harvest Granary;;;;;x
tws_plains_harvest_granary_desc;Vast granaries store the bounty of the plains, stabilizing food supply and allowing the city to withstand poor harvests or siege, while supporting both trade and defense.;;;;;x
tws_plains_estate;Plains Estate;;;;;x
tws_plains_estate_desc;A grand estate presides over the plains, uniting agricultural holdings under efficient stewardship. The estate draws merchants, secures food and wealth, and greatly expands the citys influence.;;;;;x
