#Code;English;French;German;Spanish;Russian;x
ufb_zoroastrian_stone_platform;Stone Platform;;;;;x
ufb_zoroastrian_stone_platform_desc;A simple, hastily raised stone platform for ritual sky burials, marking the first step in establishing a Tower of Silence.;;;;;x
ufb_zoroastrian_small_tower_of_silence;Small Tower of Silence;;;;;x
ufb_zoroastrian_small_tower_of_silence_desc;A modest, free-standing stone tower, providing a proper environment for sky burials and attracting the attention of local priests.;;;;;x
ufb_zoroastrian_circular_platform;Circular Platform;;;;;x
ufb_zoroastrian_circular_platform_desc;A rudimentary circular stone structure raised to separate the sacred from the profane, facilitating proper funerary rites.;;;;;x
ufb_zoroastrian_enclosed_tower_of_silence;Enclosed Tower of Silence;;;;;x
ufb_zoroastrian_enclosed_tower_of_silence_desc;A fortified, enclosed funerary tower with dedicated chambers for priests and watchers, further sanctifying the burial ground.;;;;;x
ufb_zoroastrian_walled_tower;Walled Tower;;;;;x
ufb_zoroastrian_walled_tower_desc;Encircled by a defensive wall, this tower protects sacred rites from prying eyes and desecration, marking a step towards architectural permanence.;;;;;x
ufb_zoroastrian_ornate_tower_of_silence;Ornate Tower of Silence;;;;;x
ufb_zoroastrian_ornate_tower_of_silence_desc;A grand funerary tower with elaborate ornamentation, rare stones, and dedicated prayer halls, attracting pilgrims from afar.;;;;;x
ufb_zoroastrian_decorated_tower;Decorated Tower;;;;;x
ufb_zoroastrian_decorated_tower_desc;A tower adorned with intricate carvings and religious motifs, reflecting growing wealth and devotion.;;;;;x
ufb_zoroastrian_grand_tower_of_silence;Grand Tower of Silence;;;;;x
ufb_zoroastrian_grand_tower_of_silence_desc;A monumental, multi-tiered tower, home to a center of religious learning and administration, renowned throughout the region.;;;;;x
ufb_zoroastrian_sanctified_tower;Sanctified Tower;;;;;x
ufb_zoroastrian_sanctified_tower_desc;A tower consecrated by the highest priests, serving as a beacon of the faith, with sacred fires and relics enshrined within.;;;;;x
ufb_zoroastrian_blessed_tower_of_silence;Blessed Tower of Silence;;;;;x
ufb_zoroastrian_blessed_tower_of_silence_desc;The holiest funerary tower, known across the world, drawing pilgrims, scholars, and the faithful, radiating spiritual authority and prosperity.;;;;;x
