#Code;English;French;German;Spanish;Russian;x
uzz_sheepfold;Sheepfold;;;;;x
uzz_sheepfold_desc;Strongly fenced enclosures for sheep, with watch posts and shared grazing management. Local trade increases as wool becomes available.;;;;;x
uzz_yurt_cluster;Yurt Cluster;;;;;x
uzz_yurt_cluster_desc;A growing assembly of yurts for herders and their families, with basic corrals and communal firepits improving organization and efficiency.;;;;;x
uzz_pasture_camp;Pasture Camp;;;;;x
uzz_pasture_camp_desc;A crude encampment of tents and makeshift fences for livestock, marking the first efforts to settle and graze herds on the open steppe.;;;;;x
uzz_steppe_corral;Steppe Corral;;;;;x
uzz_steppe_corral_desc;A fortified corral with timber fencing and semi-permanent shelters, allowing for larger herds and increased urban trade in livestock products.;;;;;x
uzz_horse_herd;Horse Herd;;;;;x
uzz_horse_herd_desc;A sprawling network of fenced pastures for horses, with dedicated handlers and trade facilities. The city profits from breeding, trading, and improved defense.;;;;;x
uzz_cattle_pen;Cattle Pen;;;;;x
uzz_cattle_pen_desc;Large, well-guarded pens for cattle, incorporating stone foundations and overseer lodges. The prosperity attracts merchants and provides a strong base for urban defense.;;;;;x
uzz_wool_pavilion;Wool Pavilion;;;;;x
uzz_wool_pavilion_desc;A thriving market and craft hall for wool production, with covered trading pavilions and artisan guilds, drawing traders from afar.;;;;;x
uzz_steppe_grazing;Steppe Grazing;;;;;x
uzz_steppe_grazing_desc;Vast, managed grazing lands with irrigation ditches and guard towers, maximizing herd size and ensuring the security of the citys food supply and trade.;;;;;x
uzz_herdmasters_lodge;Herdmasters Lodge;;;;;x
uzz_herdmasters_lodge_desc;The residence and office of the chief herdmaster, with administrative staff, scribes, and a granary. Urban order and trade are at their zenith.;;;;;x
uzz_nomad_enclosure;Nomad Enclosure;;;;;x
uzz_nomad_enclosure_desc;A grand complex of fortified livestock enclosures, markets, and administration, symbolizing the citys mastery of steppe herding and its economic might.;;;;;x
