#Code;English;French;German;Spanish;Russian;x
wal_pilgrims_path;Pilgrims Path;;;;;x
wal_pilgrims_path_desc;A humble, marked trail with waystones and simple shrines, providing safety and spiritual guidance to the first pilgrims.;;;;;x
wal_wooden_shelter;Wooden Shelter;;;;;x
wal_wooden_shelter_desc;Simple wooden huts erected along the path, offering rudimentary protection for weary pilgrims.;;;;;x
wal_pilgrims_hostel;Pilgrims Hostel;;;;;x
wal_pilgrims_hostel_desc;A communal timber structure where pilgrims can rest, pray, and share stories in modest comfort.;;;;;x
wal_pilgrims_infirmary;Pilgrims Infirmary;;;;;x
wal_pilgrims_infirmary_desc;A stone wing with beds and attendants for tending to the needs of ailing travelers, staffed by learned clergy.;;;;;x
wal_stone_rest_house;Stone Rest House;;;;;x
wal_stone_rest_house_desc;A sturdy masonry building, providing shelter and a small chapel for prayer, indicating the paths growing importance.;;;;;x
wal_wayfarers_lodge;Wayfarers Lodge;;;;;x
wal_wayfarers_lodge_desc;A multi-story guesthouse with private chambers and a refectory, welcoming pilgrims and dignitaries alike.;;;;;x
wal_pilgrimage_courtyard;Pilgrimage Courtyard;;;;;x
wal_pilgrimage_courtyard_desc;A walled courtyard with gardens and covered arcades, offering a tranquil space for prayer and gatherings.;;;;;x
wal_pilgrimage_inn;Pilgrimage Inn;;;;;x
wal_pilgrimage_inn_desc;A grand inn with expanded facilities, hosting gatherings of pilgrims, clergy, and scholars, and serving as a center for religious discourse.;;;;;x
wal_pilgrims_hospice;Pilgrims Hospice;;;;;x
wal_pilgrims_hospice_desc;A fortified complex for the care and accommodation of large numbers of pilgrims, with dedicated chapels and scriptorium.;;;;;x
wal_grand_pilgrims_hall;Grand Pilgrims Hall;;;;;x
wal_grand_pilgrims_hall_desc;A monumental hall adorned with sacred art, housing relics, and serving as a beacon for the faithful across realms.;;;;;x
