#Code;English;French;German;Spanish;Russian;x
wxp_watch_post_1;Watch Post;;;;;x
wxp_watch_post_1_desc;A makeshift lookout point, often a timber scaffold or a hastily raised earth mound, allowing sentries to spot threats from afar.;;;;;x
wxp_signal_tower_3;Signal Tower;;;;;x
wxp_signal_tower_3_desc;A modest stone tower equipped with fire beacons, horns, and flags to relay warnings quickly to the surrounding countryside.;;;;;x
wxp_guard_tower_2;Guard Tower;;;;;x
wxp_guard_tower_2_desc;A wooden guard tower with a raised platform, providing basic shelter for sentries and improved oversight of the castle approaches.;;;;;x
wxp_flanking_tower_4;Flanking Tower;;;;;x
wxp_flanking_tower_4_desc;A robust stone flanking tower, projecting from the walls to allow defenders to sweep attackers with enfilading fire.;;;;;x
wxp_arrow_tower_5;Arrow Tower;;;;;x
wxp_arrow_tower_5_desc;A tall, stone arrow tower with multiple firing slits, providing archers with excellent vantage points to rain arrows on besiegers.;;;;;x
wxp_round_tower_6;Round Tower;;;;;x
wxp_round_tower_6_desc;A massive round stone tower with thick walls, designed to deflect siege engines and resist undermining, forming a formidable anchor in the defenses.;;;;;x
wxp_holed_tower_7;Holed Tower;;;;;x
wxp_holed_tower_7_desc;A specialized tower with machicolations and murder holes, allowing defenders to pour boiling liquids and stones onto attackers below.;;;;;x
wxp_high_keep_tower_8;High Keep Tower;;;;;x
wxp_high_keep_tower_8_desc;A towering stone keep rising above the castle, serving as both the last redoubt and a symbol of lordly might and prestige.;;;;;x
wxp_bastion_tower_9;Bastion Tower;;;;;x
wxp_bastion_tower_9_desc;A cutting-edge bastion tower featuring angled walls for deflecting projectiles, internal barracks, and advanced defensive works, an evolution in fortification design.;;;;;x
wxp_grand_turret_10;Grand Turret;;;;;x
wxp_grand_turret_10_desc;The ultimate expression of castle defense: a monumental turret with command chambers, artillery platforms, and living quarters for elite guards, a symbol of unassailable power.;;;;;x
